鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大雅區,土地,田心段214地號,49.13,農,,,1120801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,1460000,29717,,0,0,政府機關標讓售；,RPPNMLOJQHIGFHB28EA,0,0,0,無,
西屯區,房地(土地+建物),臺中市西屯區文華路１６２巷３號四樓之７,9.66,住,,,1120801,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970131,64.24,1,1,1,有,有,7000000,108966,,0,0,,RPSRMLLJQHIGFCB08DA,35.78,0.3,2.62,有,
東區,土地,東勢子段90-115地號,67,住,,,1120801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,5200000,77612,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMJQHIGFAB27DA,0,0,0,無,1
大里區,房地(土地+建物),臺中市大里區中興路一段３１６之４號,81.48,商,,,1120802,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,630918,88.87,4,2,3,有,無,5883024,66198,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNJQHIGFIB28DA,88.87,0,0,無,2
后里區,房地(土地+建物),臺中市后里區水門路６０之１號、６０之２號,2320.7,,特定農業區,農牧用地,1120803,土地1建物1車位0,全,二層,透天厝,農業用,加強磚造,790104,360.38,6,4,4,有,無,4000000,11099,,0,0,買方同時應承受原有抵押權債務額新台幣1600萬元整。未登記建物；,RPWNMLTJQHIGFDB98DA,354.18,0,6.2,無,3
清水區,房地(土地+建物),臺中市清水區新興路６７號,45,商,,,1120801,土地2建物1車位0,全,三層,透天厝,住商用,補強磚造、水泥瓦地造,460626,117.78,4,2,3,有,無,12000000,101885,,0,0,,RPVNMLSJQHIGFFB98DA,117.78,0,0,無,
北屯區,土地,建安段269-2地號,2,,,,1120801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,111928,55964,,0,0,包含公共設施保留地用地；,RPWNMLTJQHIGFBB78DA,0,0,0,無,
梧棲區,土地,忠孝段183-2地號,69.33,住,,,1120809,土地2建物0車位0,,,其他,,,,0,0,0,0,無,無,3900000,56253,,0,0,,RPXNMLTJQHIGFFB66DA,0,0,0,無,
南區,車位,工學一街１６９號地下一層等公共設施,3.23,住,,,1120802,土地1建物0車位1,,,其他,,,,0,0,0,0,無,有,1200000,,坡道平面,29.69,1200000,僅車位交易；,RPXPMLTJQHIGFAB98DA,0,0,0,有,4
東區,房地(土地+建物)+車位,臺中市東區公園東路１６２號六樓之五,14.09,商,,,1120802,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001130,138.14,2,2,1,有,有,9730000,70436,坡道平面,30.03,0,親友、員工、共有人或其他特殊關係間之交易；借名登記返還；,RPQQMLLJQHIGFAB57DA,67.15,0,7.76,有,
太平區,房地(土地+建物),臺中市太平區中山路四段２１３巷１３弄３號,57.06,住,,,1120803,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,640805,100.61,3,2,3,有,無,11000000,109333,,0,0,,RPWNMLNJQHIGFJB98DA,100.61,0,0,無,
西區,房地(土地+建物),臺中市西區中華路１段１－７號１９樓之１５,2.6,商,,,1120803,土地1建物1車位0,十九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,850119,44.47,1,0,1,有,有,2800000,62964,,0,0,,RPPOMLSJQHIGFAB97DA,20.64,0,3.78,有,
烏日區,土地,溪南西段2452地號,109.57,,鄉村區,乙種建築用地,1120804,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,2320000,21174,,0,0,,RPQNMLTJQHIGFIB88DA,0,0,0,無,
大肚區,土地,文昌段1660-4地號,44,農,,,1120803,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,718740,16335,,0,0,,RPPNMLKKQHIGFKB18DA,0,0,0,無,
大里區,土地,西湖南段279地號,30.28,,特定農業區,農牧用地,1120807,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,320000,10568,,0,0,,RPSNMLKKQHIGFIB28DA,0,0,0,無,5
大里區,土地,金城段1571地號,9.16,,,,1120801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,400000,43668,,0,0,,RPSOMLNJQHIGFIB58DA,0,0,0,無,
新社區,土地,水底寮段上水底寮小段310-1065地號,43,,一般農業區,農牧用地,1120801,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,319250,7424,,0,0,依民國82年9月22日所訂之契約內容為依據,RPQNMLLKQHIGFGB97DA,0,0,0,無,
豐原區,土地,福興段479地號,11.06,,,,1120802,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,71890,6500,,0,0,,RPSNMLKKQHIGFDB77DA,0,0,0,無,
