編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLOKQHHFFCL88CA,1,197.48,住宅、停車空間,鋼筋混凝土造,100年8月11日,四層,一層 二層 三層 四層 陽台
RPXNMLPKQHHFFCL76CA,26,123.28,住家用,加強磚造,75年6月25日,二層,一層 二層 騎樓 電梯樓梯間
RPXNMLQKQHHFFCL86CA,32,83.65,住家用,加強磚造,69年12月27日,四層,四層 電梯樓梯間
RPOOMLPKQHHFFCL58CA,13,65.54,住家用,鋼筋混凝土造,88年2月11日,六層,五層 陽台 雨遮
RPVNMLLLQHHFFCL88CA,7,112.26,住家用,鋼筋混凝土造,94年9月27日,十四層,六層 陽台
RPVNMLLLQHHFFCL88CA,7,67.55,社區活動室、水箱、電梯機房、防空避難室、停車空間、梯間,鋼筋混凝土造,94年9月27日,十四層,
RPPNMLSLQHHFFCL98CA,32,123.00,住商用,加強磚造,69年11月26日,二層,一層 二層 騎樓 電梯樓梯間
RPPPMLKKRHHFFCL38CA,1,300.75,人行道、店舖、住宅、樓梯間,鋼筋混凝土造,100年6月23日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLOKQHHFFBL38CA,17,161.48,住家用,鋼筋混凝土造,84年8月21日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLLMQHHFFBB57CA,27,98.29,住家用,鋼筋混凝土造,75年1月30日,五層,三層 陽台
RPQNMLSJQHHFFAB67CA,21,70.57,住家用,鋼筋混凝土造,80年9月17日,十五層,七層 陽台
RPQNMLSJQHHFFAB67CA,21,18.99,人行道，開放空間，梯間，受電室，機械室，水箱,鋼筋混凝土造,80年9月17日,十五層,
RPUNMLTJQHHFFBB28CA,4,20.36,住家用,鋼筋混凝土造,97年11月28日,十七層,三層 陽台
RPUNMLTJQHHFFBB28CA,4,4.24,共有部份,鋼筋混凝土造,97年11月28日,十七層,
RPUNMLTJQHHFFBB28CA,4,8.53,共有部份,鋼筋混凝土造,97年11月28日,十七層,
RPVOMLPJRHHFFGL07CA,5,358.43,店舖．住宅,鋼筋混凝土造,96年8月24日,四層,一層 二層 三層 四層 陽台 雨遮
RPSOMLNLQHHFFBB77CA,19,92.50,住家用,鋼筋混凝土造,83年1月31日,八層,六層 陽台
RPSOMLNLQHHFFBB77CA,19,37.77,共有部份,鋼筋混凝土造,83年1月31日,八層,
RPWNMLLMQHHFFAB97DA,20,123.37,住商用,鋼筋混凝土造,81年11月23日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPPNMLRJQHHFFBB67DA,27,74.36,住家用,鋼筋混凝土造,74年11月5日,五層,三層 陽台
RPUPMLNJRHHFFBB08DA,34,78.84,住家用,鋼筋混凝土造,68年4月14日,五層,三層
RPQNMLRJQHHFFBB77DA,1,117.51,住家用,鋼筋混凝土造,101年2月13日,十五層,八層 陽台 雨遮
RPQNMLRJQHHFFBB77DA,1,84.99,本共有部分係依使用執照之建築概要表記載項目有：停車空間，排煙室，樓梯間，昇降機間，消防機房，污水機房，水箱，電信室，防空避難室兼停車空間，緊急發電機室，垃圾集中室，台電配電室，沿街步道式開放空間（有頂蓋型），車道，公設，廣場式開放空間（有頂蓋型），門廳等１７項,鋼筋混凝土造,101年2月13日,十五層,
RPQNMLRJQHHFFBB77DA,1,26.69,本共有部分係依使用執照之建築概要表記載項目有：梯廳，排煙室，樓梯間，昇降機間，水錶箱室，電梯機房，水箱，門廳等８項,鋼筋混凝土造,101年2月13日,十五層,
RPTNMLPKQHHFFBB97DA,18,79.25,住商用,鋼筋混凝土造,83年10月20日,十四層,一層 二層 陽台
RPTNMLPKQHHFFBB97DA,18,108.50,住商用,鋼筋混凝土造,83年10月20日,十四層,一層 二層 陽台
RPTNMLPKQHHFFBB97DA,18,.31,住商用,鋼筋混凝土造,83年10月20日,十四層,
RPXNMLRLQHHFFCB78DA,31,196.85,住商用,鋼筋混凝土造,70年8月4日,三層,一層 二層 三層 騎樓 地下層
RPOOMLNKQHHFFCB47DA,7,103.03,住家用,鋼筋混凝土造,94年8月11日,十四層,十二層 陽台 雨遮
RPOOMLNKQHHFFCB47DA,7,38.30,共有部份,鋼筋混凝土造,94年8月11日,十四層,
RPTPMLTLQHHFFBB68DA,40,72.27,住家用,鋼筋混凝土加強磚造,61年11月20日,一層,一層
RPUNMLPKQHHFFBB08DA,9,157.88,店舖，住房,ＲＣ造,92年12月4日,四層,一層 二層 三層 四層 陽台
RPOOMLPKQHHFFBB57DA,20,140.36,住家用,鋼筋混凝土造,81年10月15日,十二層,一層 二層
RPOOMLPKQHHFFBB57DA,20,20.62,停車空間．避難室,鋼筋混凝土造,81年10月15日,十二層,
RPWOMLPKQHHFFBB38DA,34,94.73,住家用,鋼筋混凝土造,68年1月9日,八層,六層
RPPNMLSJQHHFFBB77DA,1,95.95,住家用,鋼筋混凝土造,101年2月13日,十五層,十三層 陽台 雨遮
RPPNMLSJQHHFFBB77DA,1,50.76,本共有部分係依使用執照之建築概要表記載項目有：停車空間，排煙室，樓梯間，昇降機間，消防機房，污水機房，水箱，電信室，防空避難室兼停車空間，緊急發電機室，垃圾集中室，台電配電室，沿街步道式開放空間（有頂蓋型），車道，公設，廣場式開放空間（有頂蓋型），門廳等１７項,鋼筋混凝土造,101年2月13日,十五層,
RPPNMLSJQHHFFBB77DA,1,22.07,本共有部分係依使用執照之建築概要表記載項目有：梯廳，排煙室，樓梯間，昇降機間，水錶箱室，電梯機房，水箱，門廳等８項,鋼筋混凝土造,101年2月13日,十五層,
RPQNMLSJQHHFFBB87DA,26,215.22,住家用,鋼筋混凝土造,75年11月24日,四層,一層 二層 三層 四層 陽台 屋頂突出物 地下層
RPSNMLRJQHHFFCB08DA,21,70.29,住家用,鋼筋混凝土造,80年7月23日,十五層,六層 陽台 花台
RPSNMLRJQHHFFCB08DA,21,7.44,停車空間,鋼筋混凝土造,80年7月23日,十五層,
RPSNMLRJQHHFFCB08DA,21,18.14,共有部份,鋼筋混凝土造,80年7月23日,十五層,
RPRNMLSJQHHFFAB87DA,6,95.86,集合住宅,鋼筋混凝土造,95年12月22日,十五層,三層 陽台
RPRNMLSJQHHFFAB87DA,6,20.22,共用部分,鋼筋混凝土造,95年12月22日,十五層,
RPRNMLSJQHHFFAB87DA,6,39.64,共用部分,鋼筋混凝土造,95年12月22日,十五層,
RPTONLTLQHHFFAB58DA,34,74.22,住家用,鋼筋混凝土造,67年12月18日,五層,五層
RPPOMLMKRHHFFAB37DA,19,139.16,住家用,鋼筋混凝土造,82年3月11日,七層,五層 陽台 花台
RPPOMLMKRHHFFAB37DA,19,31.41,人行道．機械房．水塔．防空避難室．梯間,鋼筋混凝土造,82年3月11日,七層,
RPPNMLRLQHHFFGL66CA,19,85.52,集合住宅,鋼筋混凝土造,82年9月16日,十四層,七層 陽台 花台
RPPNMLRLQHHFFGL66CA,19,9.50,辦公室、停車空間,鋼筋混凝土造,82年9月16日,十四層,
RPPNMLRLQHHFFGL66CA,19,23.00,共有部份,鋼筋混凝土造,82年9月16日,十四層,
RPXOMLRLQHHFFGL57CA,20,26.27,店舖、停車空間,鋼筋混凝土造,81年5月12日,十三層,
RPXOMLRLQHHFFGL57CA,20,148.40,集合住宅,鋼筋混凝土造,81年5月12日,十三層,十二層 十三層 陽台 花台
RPRNMLLJRHHFFGL78CA,7,58.48,店舖、人行道,鋼筋混凝土造,95年1月11日,十三層,一層 騎樓
RPRNMLLJRHHFFGL78CA,7,7.31,共有部份,鋼筋混凝土造,95年1月11日,十三層,
RPQNMLLJRHHFFGL68CA,7,59.21,店舖、人行道,鋼筋混凝土造,95年1月11日,十三層,一層 騎樓
RPQNMLLJRHHFFGL68CA,7,7.42,共有部份,鋼筋混凝土造,95年1月11日,十三層,
RPQNMLNKQHHFFGL88CA,33,61.22,住家用,鋼筋混凝土造,69年1月5日,五層,五層
RPSNMLKKQHHFFGL78CA,32,122.85,住商用,加強磚造,69年2月9日,二層,一層 二層 騎樓
RPPNMLSJQHHFFHL66CA,33,126.04,店舖、住宅,加強磚造,68年7月30日,二層,一層 二層 騎樓
RPPNMLKLQHHFFHL68CA,3,189.45,住家用,鋼筋混凝土造,98年3月20日,四層,一層 二層 三層 四層 陽台
RPPNMLSKQHHFFBL78CA,35,411.81,工業用,鋼筋混凝土加強磚造,67年6月29日,一層,
RPPNMLMJRHHFFCL28CA,13,124.64,住家用,鋼筋混凝土造,88年2月11日,三層,一層 二層 三層 陽台
RPPNMLMJRHHFFCL28CA,13,33.25,停車空間、避難室、人行道、梯間、管理員室、車道、坡道,鋼筋混凝土造,88年2月11日,六層,
RPQNMLRKQHHFFCL88CA,17,105.91,住家用,鋼筋混凝土造,84年4月1日,十二層,四層 陽台
RPVNMLPKQHHFFCL56CA,33,41.48,見其他登記事項,加強磚造,68年2月3日,二層,
RPSNMLLMQHHFFFL98CA,7,231.56,住宅、停車空間、梯間、人行道,鋼筋混凝土造,94年12月1日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項
RPPOMLNJRHHFFFL78CA,13,202.20,住商用,鋼筋混凝土造,88年2月3日,四層,一層 二層 三層 四層 陽台 雨遮
RPQNMLKKRHHFFFL58CA,19,166.40,住家用,鋼筋混凝土造,82年12月16日,三層,
RPTNMLKKQHHFFCB57DA,18,20.92,住家用,鋼筋混凝土造,83年6月17日,七層,七層 陽台
RPVNMLKLQHHFFFL09CA,19,119.42,住家用,鋼筋混凝土造,82年6月27日,八層,八層 陽台 花台
RPVNMLKLQHHFFFL09CA,19,53.12,共有部份,鋼筋混凝土造,82年6月27日,八層,
RPQNMLNKQHHFFCB57DA,15,35.57,住家用,鋼筋混凝土造,86年2月3日,十五層,八層 陽台
RPQNMLNKQHHFFCB57DA,15,1.78,住家用,鋼筋混凝土造,86年2月3日,十五層,
RPPNMLRLQHHFFFL56CA,1,219.00,人行道、店舖、住宅、機電設備空間、樓梯間,鋼筋混凝土造,100年12月14日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項
RPVOMLLLQHHFFBB97DA,2,.03,店舖,鋼筋混凝土造,99年9月17日,二十四層,
RPPOMLRKQHHFFFL56CA,1,187.45,住宅、停車空間、機電設備空間、樓梯間,鋼筋混凝土造,100年12月14日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPVNMLLLQHHFFFL56CA,18,87.18,住家用,鋼筋混凝土造,83年4月26日,十層,十層 陽台 花台
RPVNMLLLQHHFFFL56CA,18,23.78,共有部份,鋼筋混凝土造,83年4月26日,十層,
RPXNMLNJRHHFFAB97CA,41,143.93,住家用,見其他登記事項,60年1月19日,二層,一層 二層 騎樓
RPSNMLSLQHHFFBB18CA,,200.71,住宅，停車空間,鋼筋混凝土造,101年4月25日,四層,一層 二層 三層 四層 陽台
RPPNMLTJQHHFFAB67CA,4,282.26,人行道、店舖、停車空間、住宅、樓梯間,鋼筋混凝土造,97年7月23日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 見其他登記事項
RPPPMLRKQHHFFAB77CA,18,106.72,住家用,鋼筋混凝土造,83年5月9日,八層,七層 陽台 花台
RPOOMLLMQHHFFAB17CA,7,48.48,店舖，住宅,鋼筋混凝土造,94年12月19日,九層,一層
RPOOMLLMQHHFFAB17CA,7,16.25,共用部分,鋼筋混凝土造,94年12月19日,十二層,
RPOOMLLMQHHFFAB17CA,7,11.59,共用部分,鋼筋混凝土造,94年12月19日,九層,
RPQOMLNLQHHFFBB57CA,19,72.94,住家用,鋼筋混凝土造,83年4月19日,八層,七層 陽台 花台
RPQOMLNLQHHFFBB57CA,19,33.36,共有部份,鋼筋混凝土造,83年4月19日,八層,
RPWNMLKLQHHFFBB77CA,27,95.39,住商用,鋼筋混凝土造,74年7月25日,五層,一層 二層 陽台 騎樓
RPTNMLSJQHHFFBB08CA,14,10.40,共有部份,鋼筋混凝土造,88年1月19日,十三層,
RPTNMLSJQHHFFBB08CA,14,31.57,共有部份,鋼筋混凝土造,88年1月19日,十三層,
RPTNMLSJQHHFFBB08CA,14,62.69,住家用,鋼筋混凝土造,88年1月19日,十三層,十二層 陽台
RPROMLMLQHHFFCB67CA,21,28.00,住家用,鋼筋混凝土造,80年12月11日,七層,六層 雨遮
RPORMLQJRHHFFBB87CA,20,82.65,住家用,鋼筋混凝土造,81年12月28日,十二層,七層 陽台 花台
RPORMLQJRHHFFBB87CA,20,11.43,共有部份,鋼筋混凝土造,81年12月28日,十二層,
RPQNMLMLQHHFFCB47CA,6,83.36,住家用,鋼筋混凝土造,95年8月25日,十五層,十二層 陽台 雨遮
RPQNMLMLQHHFFCB47CA,6,54.01,共用,鋼筋混凝土造,95年8月25日,十五層,
RPTOMLKLQHHFFCB67CA,16,93.21,國民住宅,鋼筋混凝土造,85年6月15日,十二層,十二層 陽台 花台
RPTOMLKLQHHFFCB67CA,16,48.84,共同使用,鋼筋混凝土造,85年6月15日,十二層,
RPUNMLPKQHHFFCB08CA,3,77.86,住家用,鋼筋混凝土造,98年8月13日,二十六層,十一層 陽台 雨遮
RPSNMLRKQHHFFCB08CA,3,289.35,住宅、停車空間、機電設備空間、梯間,鋼筋混凝土造,98年5月21日,五層,一層 二層 三層 四層 五層 陽台 雨遮 見其他登記事項
RPUOMLRKQHHFFCB38CA,20,74.59,住家用,鋼筋混凝土造,81年2月14日,十一層,七層 陽台 花台
RPUOMLRKQHHFFCB38CA,20,9.39,辦公室、停車空間,鋼筋混凝土造,81年2月14日,十一層,
RPQNMLOKQHHFFAL38CA,19,231.78,住家用,鋼筋混凝土造,82年9月14日,十五層,十四層 十五層 陽台 露台
RPQNMLOKQHHFFAL38CA,19,108.75,共有部份,鋼筋混凝土造,82年9月14日,十五層,
RPPNMLRKQHHFFAL58CA,27,124.67,住家用,鋼筋混凝土造,74年12月3日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLLKQHHFFAL97CA,32,107.76,住商用,加強磚造,69年2月14日,二層,一層 二層 騎樓 見其他登記事項
RPUNMLOKQHHFFHL96DA,13,22.07,集合住宅,鋼筋混凝土造,88年9月9日,十層,六層 陽台
RPTNMLPKQHHFFCL09DA,32,81.00,住商用,加強磚造,69年5月5日,二層,一層 二層
RPTNMLKMQHHFFGL56DA,18,83.43,集合住宅,鋼筋混凝土造,83年1月4日,七層,七層 陽台 花台
RPSNMLPKQHHFFGL76DA,26,150.91,住宅、梯間,鋼筋混凝土造,75年12月12日,三層,一層 二層 三層 陽台 平台 屋頂突出物 花台
RPQNMLQKQHHFFGL66DA,18,193.35,停車空間、住房、梯間、水箱,鋼筋混凝土造,83年2月8日,三層,一層 二層 三層 陽台 屋頂突出物 花台 雨遮 地下層 見其他登記事項
RPTNMLQKQHHFFGL96DA,1,418.81,廠房、辦公室、陽台、樓梯間、單身員工宿舍,鋼筋混凝土造,100年4月1日,二層,一層 二層 陽台 夾層 見其他登記事項
RPPNMLOKQHHFFFL88DA,31,574.93,見其他登記事項,鋼筋混凝土造,70年3月28日,二層,一層 二層 見其他登記事項
RPPNMLOKQHHFFFL88DA,31,608.86,工商用,鋼造,70年3月28日,一層,一層
RPSNMLRKQHHFFGL96DA,11,201.48,停車空間、住宅,鋼筋混凝土造,90年6月26日,四層,一層 二層 三層 四層 陽台
RPWNMLRJRHHFFGL37DA,19,162.98,住宅、梯間,鋼筋混凝土造,82年11月19日,四層,一層 二層 三層 四層 屋頂突出物 花台
RPSOMLRJRHHFFAL09DA,32,81.90,住家用,加強磚造,69年11月5日,二層,一層 二層
RPUNMLLLQHHFFCL88DA,32,93.24,住家用,加強磚造,69年12月25日,二層,一層 二層 騎樓
RPWNMLQJRHHFFHL37DA,19,89.11,集合住宅,鋼筋混凝土造,82年6月30日,七層,三層 陽台
RPWNMLQJRHHFFHL37DA,19,47.79,機房、水塔、梯間、避難室、停車空間,鋼筋混凝土造,82年6月30日,七層,
RPTNMLQKQHHFFAL88CA,31,88.94,住家用,加強磚造,70年7月12日,二層,一層 二層 見其他登記事項
RPTNMLMLQHHFFAL58CA,35,166.00,住商用,鋼筋混凝土造,66年1月19日,三層,一層 二層 三層 騎樓
RPWNMLLJRHHFFBB77CA,14,210.99,農業住宅、停車空間,鋼筋混凝土造,87年9月29日,四層,一層 二層 三層 四層 陽台 地下一層
RPPNMLKMQHHFFCB27CA,3,221.22,住家用,鋼筋混凝土造,98年8月25日,十五層,五層 陽台 雨遮
RPVNMLSLQHHFFAL76CA,,221.81,住家用,鋼筋混凝土造,101年5月2日,四層,一層 二層 三層 四層
RPQNMLTLQHHFFAL98CA,,218.20,住家用,鋼筋混凝土造,101年5月2日,四層,一層 二層 三層 四層
RPTNMLLLQHHFFAL48CA,15,92.55,住家用,鋼筋混凝土造,86年3月3日,八層,四層 陽台
RPTNMLLLQHHFFAL48CA,15,46.89,共有部份,鋼筋混凝土造,86年3月3日,八層,
RPUNMLLLQHHFFAL58CA,32,64.08,住商用,加強磚造,69年3月10日,二層,一層 二層 電梯樓梯間
RPWNMLSLQHHFFAL86CA,,223.04,住家用,鋼筋混凝土造,101年5月2日,四層,一層 二層 三層 四層
RPSNMLOJRHHFFAL58CA,44,396.80,住商用,加強磚造,57年5月0日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLRJRHHFFAL66CA,20,122.19,住家用,加強磚造,81年9月30日,二層,一層 二層 陽台 見其他登記事項
RPPNMLSKQHHFFCB87CA,3,104.16,住家用,鋼筋混凝土造,99年1月12日,二十六層,十七層 陽台
RPPNMLSKQHHFFCB87CA,3,76.12,本共有部分之項目有防空避難室兼停車空間、停車空間、發電機室、門廳、消防機房、垃圾處理空間、昇降設備、梯間、水箱、機房、排煙室、梯廳、進氣管道、排氣管道、特別安全梯、車道、污水機房、電信管道、給水管道、弱電管道、電信室、蓄水池、機械室、台電配電室、泳池噴灌機房、社區游泳池、儲藏室、機坑、防災中心、走廊、中繼水箱、中繼機械室、避難平台等三十二項,鋼筋混凝土造,99年1月12日,二十六層,
RPPNMLRKQHHFFCB77CA,17,17.11,住家用,鋼筋混凝土造,84年2月15日,十五層,六層 陽台
RPPNMLRKQHHFFCB77CA,17,9.83,共有部份,鋼筋混凝土造,84年2月15日,十六層,
RPVNMLPKQHHFFCB18CA,16,82.49,國民住宅,鋼筋混凝土造,85年9月23日,十二層,六層 陽台 花台
RPVNMLPKQHHFFCB18CA,16,48.90,共有部份,鋼筋混凝土造,85年9月23日,十二層,
RPVPMLSLQHHFFCB78CA,17,76.19,住家用,鋼筋混凝土造,84年8月17日,十六層,五層 陽台
RPVPMLSLQHHFFCB78CA,17,25.35,共有部份,鋼筋混凝土造,84年8月17日,十六層,
RPVPMLSLQHHFFCB78CA,17,14.10,共有部份,鋼筋混凝土造,84年8月17日,十六層,
RPPNMLSLQHHFFCB97CA,39,130.05,店舖,鐵筋加強磚造,62年3月1日,二層,一層 二層 騎樓
RPSQMLKMQHHFFCB87CA,,88.77,住家用,鋼筋混凝土造,101年5月23日,十一層,八層 陽台 雨遮
RPSQMLKMQHHFFCB87CA,,50.46,本共有部分之項目有停車空間、水箱、消防污水機房、車道、梯間、停車空間兼防空避難室、發電機房、台電配電室、電信機房、機車停車區、廣場式開放空間（頂蓋型）、門廳、公共服務空間（文康室）、公共服務空間（交誼廳）、資源回收室、管理室等十六項。,鋼筋混凝土造,101年5月23日,十一層,
RPSQMLKMQHHFFCB87CA,,16.96,本共有部分之項目有梯廳、梯間、樓梯間、機械室、水箱等五項。,鋼筋混凝土造,101年5月23日,十一層,
RPTQMLKMQHHFFCB97CA,,88.89,住家用,鋼筋混凝土造,101年5月23日,十一層,三層 陽台 雨遮
RPTQMLKMQHHFFCB97CA,,76.18,本共有部分之項目有停車空間、水箱、消防污水機房、車道、梯間、停車空間兼防空避難室、發電機房、台電配電室、電信機房、機車停車區、廣場式開放空間（頂蓋型）、門廳、公共服務空間（文康室）、公共服務空間（交誼廳）、資源回收室、管理室等十六項。,鋼筋混凝土造,101年5月23日,十一層,
RPTQMLKMQHHFFCB97CA,,33.13,本共有部分之項目有梯廳、梯間、樓梯間、機械室、水箱等五項。,鋼筋混凝土造,101年5月23日,十一層,
RPTQMLKMQHHFFCB97CA,,59.89,住家用,鋼筋混凝土造,101年5月23日,十一層,三層 陽台 雨遮
RPTOMLSLQHHFFCB48CA,31,223.86,住商用,鋼筋混凝土造,70年11月7日,四層,一層 二層 三層 四層 騎樓 地下層
RPUQMLKMQHHFFCB08CA,,88.89,住家用,鋼筋混凝土造,101年5月23日,十一層,八層 陽台 雨遮
RPUQMLKMQHHFFCB08CA,,52.93,本共有部分之項目有停車空間、水箱、消防污水機房、車道、梯間、停車空間兼防空避難室、發電機房、台電配電室、電信機房、機車停車區、廣場式開放空間（頂蓋型）、門廳、公共服務空間（文康室）、公共服務空間（交誼廳）、資源回收室、管理室等十六項。,鋼筋混凝土造,101年5月23日,十一層,
RPUQMLKMQHHFFCB08CA,,19.84,本共有部分之項目有梯廳、梯間、樓梯間、機械室、水箱等五項。,鋼筋混凝土造,101年5月23日,十一層,
RPVQMLKMQHHFFCB18CA,,59.89,住家用,鋼筋混凝土造,101年5月23日,十一層,二層 陽台 雨遮
RPVQMLKMQHHFFCB18CA,,33.64,本共有部分之項目有停車空間、水箱、消防污水機房、車道、梯間、停車空間兼防空避難室、發電機房、台電配電室、電信機房、機車停車區、廣場式開放空間（頂蓋型）、門廳、公共服務空間（文康室）、公共服務空間（交誼廳）、資源回收室、管理室等十六項。,鋼筋混凝土造,101年5月23日,十一層,
