編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLLMQHHFFBB97CA,8,101.76,住家用,ＲＣ造,93年11月10日,二十層,四層 陽台
RPUPMLLMQHHFFBB97CA,8,67.02,共有部份,ＲＣ造,93年11月10日,二十層,
RPUNMLPKQHHFFGL86CA,2,289.89,住家用,ＲＣ鋼筋混凝土造,99年8月2日,四層,一層 二層 三層 四層 陽台 雨遮
RPSNMLKKQHHFFCL38CA,17,165.10,住家用,鋼筋混凝土造,84年4月20日,三層,一層 二層 三層
RPPNMLNJRHHFFEL58CA,17,109.66,農舍,鋼筋混凝土造,85年1月4日,一層,一層
RPPNMLSJQHHFFFL09CA,14,54.07,住家用,鋼筋混凝土造,87年6月1日,九層,五層 陽台
RPPNMLSJQHHFFFL09CA,14,29.84,共有部份,鋼筋混凝土造,87年6月1日,九層,
RPRNMLKKQHHFFBB17CA,18,19.18,住家用,鋼筋混凝土造,84年6月26日,二十四層,十三層 陽台
RPRNMLKKQHHFFBB17CA,18,5.46,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPRNMLKKQHHFFBB17CA,18,4.13,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPRNMLKKQHHFFBB17CA,18,.00,共有部份,鋼筋混凝土造,84年6月26日,二十四層,
RPQNMLNKQHHFFAL28CA,7,52.14,集合住宅,鋼筋混凝土造,95年1月12日,十三層,十層 陽台
RPQNMLNKQHHFFAL28CA,7,20.37,共有部份,鋼筋混凝土造,95年1月12日,十三層,
RPQNMLOLQHHFFAL48CA,31,222.23,住宅、人行道、梯間、店舖,鋼筋混凝土造,70年12月18日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項
RPXNMLOJRHHFFGL17DA,27,119.15,店住宅、住宅、梯間,鋼筋混凝土造,74年11月25日,三層,一層 二層 三層 陽台 屋頂突出物
RPQPMLQJRHHFFGL86DA,16,89.97,集合住宅,鋼筋混凝土造,85年3月28日,十三層,八層 陽台
RPQPMLQJRHHFFGL86DA,16,.34,辦公室,鋼筋混凝土造,85年3月28日,十三層,
RPPNMLPJRHHFFEL88DA,17,158.55,住房、梯間,鋼筋混凝土造,84年3月6日,三層,一層 二層 三層 陽台 屋頂突出物
RPQOMLLLQHHFFAL28CA,17,16.41,住家用,鋼筋混凝土造,84年10月20日,十層,四層 陽台
RPQNMLTJQHHFFCB97CA,32,129.19,店房、住房、避難室、人行道,鋼筋混凝土造,69年8月23日,四層,一層 二層 三層 四層 騎樓 地下層
RPPNMLKMQHHFFBL28DA,20,261.51,廠房、單身員工宿舍、梯室,加強磚造,81年11月19日,二層,一層 二層 陽台 屋頂突出物
RPRNMLTJQHHFFCB08CA,32,91.69,住商用,鋼筋混凝土造,69年12月3日,三層,一層 二層 三層 地下層
RPXNMLNLQHHFFCB28CA,19,83.42,住家用,鋼筋混凝土造,82年10月18日,十二層,六層 陽台 花台
RPXNMLNLQHHFFCB28CA,19,25.83,共有部份,鋼筋混凝土造,82年10月18日,十二層,
RPORMLLMQHHFFCB67CA,26,86.78,住家用,鋼筋混凝土造,75年1月17日,五層,四層 陽台
RPORMLLMQHHFFCB67CA,26,6.73,共有部份,鋼筋混凝土造,75年1月17日,五層,
RPQNMLKKQHHFFHL78DA,31,83.16,住家用,加強磚造,70年11月11日,二層,一層 二層 陽台
RPWNMLPJRHHFFCB28CA,18,188.51,住家用,鋼筋混凝土造,83年5月3日,十六層,十層 陽台 花台
RPWNMLPJRHHFFCB28CA,18,32.27,共有部份,鋼筋混凝土造,83年5月3日,十六層,
RPPNMLRJQHHFFAL48CA,2,1.68,管理員室,鋼筋混凝土造,99年2月8日,二層,
RPPNMLRJQHHFFAL48CA,2,316.05,人行道、店舖、住宅、停車空間,鋼筋混凝土造,99年2月8日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 地下一層
RPPRMLLMQHHFFCB77CA,23,27.30,住家用,鋼筋混凝土造,78年2月24日,五層,四層 陽台
RPPRMLLMQHHFFCB77CA,23,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
SPPRMLLMQHHFFCB87CA,23,21.17,住家用,鋼筋混凝土造,78年2月24日,五層,四層 陽台
SPPRMLLMQHHFFCB87CA,23,9.11,共有部份,鋼筋混凝土造,78年2月24日,五層,
RPWNMLLLQHHFFBB87CA,24,113.30,住家用,鋼筋混凝土造,77年8月22日,七層,四層 陽台 花台
RPQNMLTJQHHFFBB87CA,6,70.79,住家用,鋼筋混凝土造,96年3月22日,十五層,十二層 陽台 雨遮
RPSOMLLLQHHFFBB57CA,13,97.27,住家用,鋼筋混凝土造,89年2月19日,十四層,三層 陽台
RPSOMLLLQHHFFBB57CA,13,48.63,共有部份,鋼筋混凝土造,89年2月19日,十四層,
RPRNMLTJQHHFFAB87CA,15,24.38,住家用,鋼骨造,86年1月31日,二十八層,二十二層 陽台
RPRNMLTJQHHFFAB87CA,15,1.17,共同使用,鋼骨造,86年1月31日,二十八層,
RPRNMLTJQHHFFAB87CA,15,7.45,公共設施,鋼骨造,86年1月31日,二十八層,
RPRNMLTJQHHFFAB87CA,15,4.55,共有部份,鋼骨造,86年1月31日,二十八層,
SPWNMLKKQHHFFAB67CA,16,88.94,住家用,鋼筋混凝土造,86年1月4日,十四層,四層 陽台 花台
RPWNMLKKQHHFFAB57CA,16,62.17,住家用,鋼筋混凝土造,86年1月4日,十四層,四層 陽台 花台
RPUNMLNJRHHFFAB67CA,14,77.77,住家用,鋼筋混凝土造,87年9月30日,十二層,四層 陽台
RPUNMLNJRHHFFAB67CA,14,48.14,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPUNMLKLQHHFFAB47CA,37,210.28,住家用,鋼筋混凝土造,64年10月1日,四層,一層 二層 三層 四層 地下層
RPWNMLKLQHHFFFL56CA,5,188.54,住宅、停車空間,鋼筋混凝土造,96年3月14日,四層,一層 二層 三層 四層 陽台
RPQNMLLLQHHFFFL68CA,32,157.52,住商用,加強磚造,69年10月20日,二層,一層 二層 騎樓 電梯樓梯間
RPVNMLNLQHHFFFL76CA,10,195.99,住宅、梯間、停車空間,鋼筋混凝土造,91年8月6日,四層,一層 二層 三層 四層 陽台 見其他登記事項
