鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
烏日區,土地,新榮和段141-9地號,174.31,住,,,1010709,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18480000,106018,,0.0,0,,RPTNMLPKQHHFFGL76CA,0.0,0.0,0.0,,
烏日區,建物,台中市烏日區三榮路二段６７號,0.0,,,,1010709,土地0建物1車位0,全,四層,透天厝,住家用,見其他登記事項,0990802,289.89,7,3,3,有,無,9520000,32840,,0.0,0,含增建部分一併賣渡,RPUNMLPKQHHFFGL86CA,0.0,0.0,0.0,,
清水區,房地(土地+建物),台中市清水區和睦路５０巷１３１號,155.5,其他,一般農業區,丙種建築用地,1010711,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840420,165.1,3,1,2,有,無,4500000,27256,,0.0,0,,RPSNMLKKQHHFFCL38CA,165.1,0.0,0.0,,
新社區,房地(土地+建物),台中市新社區華豐街３３０之１號,395.0,農,一般農業區,農牧用地,1010716,土地1建物1車位0,一層,一層,農舍,農舍,鋼筋混凝土造,0850104,109.66,3,1,2,有,無,5560000,,,0.0,0,,RPPNMLNJRHHFFEL58CA,109.66,0.0,0.0,,
潭子區,土地,摘星段1127地號,27.85,住,,,1010720,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,990624,35570,,0.0,0,,RPPNMLOJQHHFFFL68CA,0.0,0.0,0.0,,
潭子區,房地(土地+建物),台中市潭子區勝利十二街８７巷 ２２號五樓,12.04,住,,,1010719,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870601,83.91,1,1,1,有,有,1980000,23598,,0.0,0,,RPPNMLSJQHHFFFL09CA,45.6,0.0,8.47,,
北屯區,房地(土地+建物),台中市北屯區天津路四段３０３號１３樓之７,1.88,商,,,1010717,土地1建物1車位0,十三層,二十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840626,28.77,1,1,1,有,有,770000,26760,,0.0,0,,RPRNMLKKQHHFFBB17CA,16.76,0.0,2.42,,
北屯區,房地(土地+建物)+車位,台中市北屯區崇德路二段468號4樓,14.43,住,,,1010628,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0931110,168.78,3,2,2,有,有,8600000,50954,坡道平面,32.69,0,,RPUPMLLMQHHFFBB97CA,89.3,0.0,12.46,,
豐原區,土地,三陽段684-1地號,330.58,住,,,1010705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19000000,57475,,0.0,0,,RPPNMLTJQHHFFAL68CA,0.0,0.0,0.0,,
豐原區,房地(土地+建物),台中市豐原區向陽路１７３巷１１３號十樓之２,7.5,住,,,1010716,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0950112,72.51,2,3,1,有,無,2300000,31720,,0.0,0,,RPQNMLNKQHHFFAL28CA,0.0,0.0,0.0,,
豐原區,房地(土地+建物),台中市豐原區直興街129巷9號四樓之6,3.0,商,,,1010724,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841020,16.41,1,0,1,有,有,700000,42657,,0.0,0,,RPQOMLLLQHHFFAL28CA,12.88,0.0,3.53,,
豐原區,房地(土地+建物),台中市豐原區中正路２１２巷３１號,73.0,商,,,1010717,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0701218,222.23,6,3,4,有,無,8000000,35999,,0.0,0,,RPQNMLOLQHHFFAL48CA,216.68,0.0,5.55,,
