鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大里區,房地(土地+建物),台中市大里區永興路２３２巷１７號,63.0,住,,,1020309,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0820922,184.95,4,2,3,有,無,7000000,37848,,0.0,0,,RPVOMLNKNHIFFGL66CA,181.84,0.0,3.12,,
大里區,房地(土地+建物),台中市大里區鳳凰路１８６之１號,82.02,住,鄉村區,乙種建築用地,1020307,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0910821,210.9,6,2,7,有,無,8500000,40303,,0.0,0,,RPUPMLNKNHIFFGL66CA,188.92,0.0,21.98,,
太平區,土地,頭汴坑段4147地號,5082.0,其他,山坡地保育區,農牧用地,1020409,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,390000,77,,0.0,0,,RPQOMLSKMHIFFHL66CA,0.0,0.0,0.0,,
太平區,房地(土地+建物),台中市太平區中山路一段２１５南巷３７號,152.26,住,鄉村區,乙種建築用地,1020321,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0920402,325.92,24,1,24,有,無,19750000,60598,,0.0,0,,RPROMLSKMHIFFHL76CA,325.92,0.0,0.0,,
太平區,房地(土地+建物),台中市太平區宜欣一路８６號３樓,22.91,住,,,1020328,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0711201,79.42,3,2,1,有,無,1530000,19265,,0.0,0,,RPVNMLKLMHIFFHL98CA,68.03,0.0,8.91,,
太平區,房地(土地+建物),台中市太平區中山路一段３２２巷１２弄２８號,84.37,,鄉村區,乙種建築用地,1020325,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950414,200.68,8,0,8,有,無,8212500,40923,,0.0,0,含增建部份一併賣渡,RPSNMLKLMHIFFHL68CA,196.81,3.87,0.0,,
太平區,房地(土地+建物),台中市太平區育才路１４５之１號,84.25,住,,,1020309,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0951221,211.78,4,2,4,有,無,9500000,44858,,0.0,0,,RPSOMLKLMHIFFHL78CA,211.78,0.0,0.0,,
太平區,土地,頭汴坑段1661地號,12999.5,其他,山坡地保育區,林業用地,1020404,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,963000,74,,0.0,0,,RPVSMLNLMHIFFHL17CA,0.0,0.0,0.0,,
太平區,房地(土地+建物),台中市太平區中和街２９６巷７號,91.56,住,,,1020314,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010604,218.36,4,3,3,有,無,11600000,53123,,0.0,0,,RPPNMLPLMHIFFHL88CA,198.7,6.51,13.15,,
太平區,房地(土地+建物),台中市太平區中和街２９６巷５號,91.88,住,,,1020318,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1010604,218.64,4,3,3,有,無,11600000,53055,,0.0,0,,RPQNMLPLMHIFFHL98CA,198.45,6.51,13.68,,
