編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPTNMLTKNHKGFEB78DA,頂安段,30.44,非都市：特定農業區 ; 非都市編定：農牧用地,88200,2520,持分移轉,11250000
RPUNMLTKNHKGFEB88DA,頂安段,14.58,非都市：特定農業區 ; 非都市編定：農牧用地,44100,1260,持分移轉,07930000
RPPNMLMKNHKGFCB47DA,上石碑段,3.77,都市：其他:第二種住宅區,10000,86,持分移轉,08240000
RPUNMLTJNHKGFFB88DA,吳厝南段,18.87,都市：其他:農業區,1008,47,持分移轉,08500000
RPOOMLOKNHKGFBB57DA,錦村段,10.50,都市：其他:第二之一種商業區,100000,93,持分移轉,02430000
RPQNMLTJNHKGFDB28DA,圳寮段,.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,120000,14,持分移轉,03850000
RPRNMLOKNHKGFGB28DA,坪埔段,120.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03550000
RPRNMLOKNHKGFGB28DA,坪埔段,93.00,非都市：山坡地保育區 ; 非都市編定：,1,1,全筆移轉,03560000
RPVNMLTJNHKGFFB98DA,楊厝段,674.57,都市：其他:保護區,1008,47,持分移轉,11430000
RPVNMLTJNHKGFFB98DA,楊厝段,224.29,都市：其他:保護區,5040,235,持分移轉,11440000
RPVNMLNKNHKGFJB88DA,麗園段,15.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,24,2,持分移轉,06660000
RPQNMLPKNHKGFIB48DA,夏田西段,3.34,非都市：一般農業區 ; 非都市編定：交通用地,72,1,持分移轉,06740000
RPQNMLPKNHKGFIB48DA,夏田西段,70.44,非都市：一般農業區 ; 非都市編定：農牧用地,8,1,持分移轉,06790000
RPQNMLPKNHKGFIB48DA,農試所段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,5040,1,持分移轉,07850000
RPQNMLPKNHKGFIB48DA,夏田西段,25.81,非都市：鄉村區 ; 非都市編定：乙種建築用地,200,7,持分移轉,08360000
RPOPMLPJNHKGFBB67DA,陳平段,74.00,都市：其他:第二種商業區,1,1,全筆移轉,12610000
RPWNMLQKNHKGFAB38DA,後壠子段,4.31,都市：其他:第二種住宅區,100000,425,持分移轉,01310002
RPVOMLQJNHKGFAB28DA,藍興段,2.41,都市：其他:第一種商業區,20000,122,持分移轉,08310000
RPRPMLNKNHKGFAB77DA,自由段四小段,10.35,都市：其他:第一種商業區,100000,785,持分移轉,00010000
RPRPMLNKNHKGFAB77DA,自由段四小段,.15,都市：其他:第一種商業區,100000,785,持分移轉,00010027
RPRPMLNKNHKGFAB77DA,重慶段四小段,2.14,都市：其他:第一種商業區,100000,785,持分移轉,00550000
RPPNMLQKNHKGFAB67DA,後壠子段,4.15,都市：其他:第三種住宅區。,10000,32,持分移轉,02100010
RPTOMLRJNHKGFBB28DA,松茂段,26.19,都市：其他:第二種住宅區,10000,55,持分移轉,10780000
RPSOMLPKNHKGFDB28DA,下南坑段,4.00,都市：其他:第二種住宅區,2100000,4256,持分移轉,12330000
RPSNMLTJNHKGFCB38DA,寶山段,6.86,都市：其他:第二種住宅區,100000,148,持分移轉,08840000
RPSOMLPKNHKGFDB28DA,下南坑段,60.00,都市：其他:第二種住宅區,1,1,全筆移轉,12330002
RPSOMLPKNHKGFDB28DA,下南坑段,22.00,都市：其他:第二種住宅區,10,2,持分移轉,12340006
RPSOMLPKNHKGFDB28DA,下南坑段,2.20,都市：其他:第二種住宅區,10,2,持分移轉,12340008
RPRNMLTJNHKGFFB58DA,銀聯段,61.00,都市：其他:第四種住宅區,1,1,全筆移轉,09880003
RPPNMLOKNHKGFJB38DA,平欣段,12.00,,1,1,全筆移轉,04930001
RPSNMLQKNHKGFFB48DA,銀聯段,62.00,都市：其他:第四種住宅區,1,1,全筆移轉,09880004
RPUOMLMJNHKGFFB28DA,興農段,99.34,都市：其他:第四種住宅區,20,2,持分移轉,08280000
RPUOMLMJNHKGFFB28DA,興農段,63.15,都市：其他:第四種住宅區,20,2,持分移轉,08290000
RPUOMLMJNHKGFFB28DA,興農段,57.01,都市：其他:第四種住宅區,20,2,持分移轉,08310000
RPUOMLMJNHKGFFB28DA,興農段,6.13,都市：其他:第四種住宅區,20,2,持分移轉,08330000
RPUOMLMJNHKGFFB28DA,興農段,90.01,都市：其他:第四種住宅區,20,2,持分移轉,08350000
RPUOMLMJNHKGFFB28DA,興農段,.47,都市：其他:第四種住宅區,20,2,持分移轉,08550000
RPUOMLMJNHKGFFB28DA,興農段,32.89,都市：其他:第四種住宅區,20,2,持分移轉,08580000
RPUOMLMJNHKGFFB28DA,興農段,24.40,都市：其他:第四種住宅區,20,2,持分移轉,08590000
RPUOMLMJNHKGFFB28DA,興農段,24.76,都市：其他:第四種住宅區,20,2,持分移轉,08680000
RPUOMLMJNHKGFFB28DA,興農段,52.31,都市：其他:第四種住宅區,20,2,持分移轉,08690000
RPUOMLMJNHKGFFB28DA,興農段,18.53,都市：其他:第四種住宅區,20,2,持分移轉,08700000
RPUOMLMJNHKGFFB28DA,興農段,13.38,都市：其他:第四種住宅區,20,2,持分移轉,08710000
RPUOMLMJNHKGFFB28DA,興農段,27.02,都市：其他:第四種住宅區,20,2,持分移轉,08720000
RPUOMLMJNHKGFFB28DA,興農段,11.56,都市：其他:第四種住宅區,20,2,持分移轉,08730000
RPQNMLTJNHKGFKB98DA,新東段,6.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,2459,6,持分移轉,04210000
RPSNMLTKNHKGFKB66DA,龍崗段,436.10,都市：其他:文小用地,4,2,持分移轉,08330000
RPSNMLTKNHKGFKB66DA,龍崗段,7170.03,都市：其他:文小用地,4,2,持分移轉,08340000
RPUOMLOKNHKGFAB08DA,三民段三小段,21.43,都市：其他:第二種住宅區,14,1,持分移轉,00040005
RPUOMLOKNHKGFAB08DA,三民段三小段,2.93,都市：其他:第二種住宅區,14,1,持分移轉,00040007
RPSNMLMJNHKGFBB57DA,錦村段,5.67,都市：其他:第二種住宅區,10000,214,持分移轉,03800005
RPRNMLTKNHKGFAB18DA,頂橋子頭段,12.00,都市：其他:第二種住宅區,1,1,全筆移轉,03290000
RPRNMLTKNHKGFAB18DA,頂橋子頭段,3.00,都市：其他:第二種住宅區,1,1,全筆移轉,03290002
RPXOMLMKNHKGFBB28DA,仁和段,2.33,都市：其他:第一種商業區,10000,33,持分移轉,05270000
RPXOMLMKNHKGFBB28DA,仁和段,2.08,都市：其他:第一種商業區,10000,33,持分移轉,05370000
RPOOMLMKNHKGFDB57DA,豐原段,77.25,都市：其他:第二種商業區,8,2,持分移轉,07780037
RPWNMLTKNHKGFCB88DA,中正段,22.02,都市：其他:第二種住宅區,1000,20,持分移轉,01020000
RPVOMLOKNHKGFDB48DA,南陽段,23.97,都市：其他:第二種住宅區,1,1,全筆移轉,05680001
RPUOMLSJNHKGFBB48DA,錦村段,7.54,都市：其他:第三種住宅區。,10000,28,持分移轉,02130085
RPRNMLQJNHKGFFB28DA,市鎮南段,12.73,都市：其他:第四種商業區,100000,115,持分移轉,01330000
RPUNMLKLNHKGFFB18DA,鹿峰西段,324.29,都市：其他:文高用地,76280,7119,持分移轉,09630000
RPRNMLKLNHKGFFB87DA,武秀段,17.00,都市：其他:第四種住宅區,1,1,全筆移轉,13360008
RPPNMLTKNHKGFHB68DA,四德段,104.00,都市：其他:第二種住宅區,1,1,全筆移轉,00640054
RPQNMLMKNHKGFIB18DA,新坑口段,189.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,01630000
RPPNMLKLNHKGFFB77EA,平等段,63.33,都市：其他:第二種住宅區,1,1,全筆移轉,13550000
RPSOMLQKNHKGFBB18DA,松茂段,19.86,都市：其他:第二種住宅區,10000,108,持分移轉,04160000
RPSOMLTKNHKGFBB48DA,文正段,3.09,都市：其他:第二種住宅區,10000,23,持分移轉,00840017
RPSOMLTKNHKGFBB48DA,水源段,.55,都市：其他:第二種住宅區,10000,23,持分移轉,03440001
RPVPMLTKNHKGFBB88DA,仁德段,86.00,都市：其他:第二種住宅區,1,1,全筆移轉,01250021
RPQPMLSJNHKGFCB28DA,國安段,11.88,都市：其他:第六種住宅區,10000,39,持分移轉,00120015
RPTNMLMKNHKGFDB97DA,三角西段,1.75,都市：其他:農業區,1,1,全筆移轉,09600002
RPPNMLRJNHKGFEB08DA,新美段,73.40,都市：其他:農業區,10,2,持分移轉,02220000
RPSNMLKLNHKGFDB77DA,柑宅段,12.67,都市：其他:第二種住宅區,10000,330,持分移轉,06880000
RPSNMLKLNHKGFDB77DA,柑宅段,23.69,都市：其他:第二種住宅區,10000,250,持分移轉,06970000
RPTNMLKLNHKGFFB08DA,三田段,258.00,都市：其他:農業區,1,1,全筆移轉,18320002
RPQNMLTKNHKGFFB58DA,南簡段,286.20,都市：其他:九年制國校用地,60,18,持分移轉,09650002
RPQNMLTKNHKGFFB58DA,南簡段,192.60,都市：其他:九年制國校用地,60,18,持分移轉,11950000
RPRNMLLLNHKGFFB97DA,英才段,21.42,都市：其他:第二種住宅區,8,3,持分移轉,07700000
RPRNMLLLNHKGFFB97DA,英才段,1.64,都市：其他:第二種住宅區,8,3,持分移轉,07710000
RPRNMLLLNHKGFFB97DA,英才段,31.01,都市：其他:第二種住宅區,8,3,持分移轉,07720000
RPXNMLMLNHKGFFB68DA,銀聯段,41.31,都市：其他:第四種住宅區,900,6,持分移轉,14340000
RPPNMLQKNHKGFGB38EA,水底寮段上水底寮小段,167.00,非都市：一般農業區 ; 非都市編定：農牧用地,933,167,持分移轉,01520460
RPPNMLLLNHKGFEB77EA,甲東段,73.61,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07000000
RPPNMLLLNHKGFEB77EA,甲東段,26.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,369,持分移轉,07180000
RPVNMLPKNHKGFAB18DA,半平厝段,5.33,都市：其他:道路用地,6,2,持分移轉,04510001
RPWOMLMKNHKGFBB18DA,東信段,20.15,都市：其他:第二種住宅區,9,1,持分移轉,02260009
RPWOMLMKNHKGFBB18DA,東信段,87.88,都市：其他:第二種住宅區,1,1,全筆移轉,02260010
RPSNMLOKNHKGFBB87DA,賴厝廍段,11.38,都市：其他:第一種商業區,200000,2896,持分移轉,04430000
RPUOMLQKNHKGFBB38DA,東山段,6.34,都市：其他:第二種住宅區,10000,295,持分移轉,00470000
RPVOMLPKNHKGFCB48DA,中仁段,24.88,都市：其他:第二種住宅區,100000,867,持分移轉,04140000
RPQPMLKLNHKGFBB57DA,北屯段,4.67,都市：其他:第二種住宅區,10000,12,持分移轉,01910000
RPPNMLTKNHKGFEB38DA,文安段,16.55,都市：其他:農業區,2,1,持分移轉,02490000
RPPNMLQLNHKGFEB18DA,安中段,90.60,都市：其他:住宅區,3,1,持分移轉,07640000
RPPPMLLLNHKGFCB67DA,大進段,5.19,都市：其他:第二種住宅區,498400,519,持分移轉,10100000
RPWRMLOKNHKGFKB96DA,新東段,8.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,158,持分移轉,04230000
RPWRMLOKNHKGFKB96DA,新東段,1.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,158,持分移轉,04240000
RPUNMLTKNHKGFKB86DA,新東段,5.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,12295,25,持分移轉,04210000
RPRONLMKNHKGFAB67DA,麻園頭段,5.33,都市：其他:第二種住宅區,10000,25,持分移轉,01880000
RPQNMLTKNHKGFCB38EA,惠民段,24.12,都市：其他:第六種新市政中心專用區,100000,837,持分移轉,00160000
RPVNMLNKNHKGFAB97DA,半平厝段,19.83,都市：其他:第二種住宅區,10000,661,持分移轉,11900000
RPWNMLMLNHKGFAB08DA,樹子腳段,5.00,都市：其他:第二種商業區,1,1,全筆移轉,12070010
RPWNMLMLNHKGFAB08DA,樹子腳段,2.50,都市：其他:第二種商業區,1,1,全筆移轉,14670005
RPXNMLSJNHKGFBB68DA,軍福段,88.02,都市：其他:第三種住宅區。,1,1,全筆移轉,00420000
RPXNMLSJNHKGFBB68DA,軍福段,88.01,都市：其他:第三種住宅區。,1,1,全筆移轉,00420001
RPTPMLTKNHKGFBB68DA,建功段,23.00,都市：其他:第三種住宅區。,2,1,持分移轉,07070000
RPQNMLQKNHKGFCB97DA,寶山段,3.00,都市：其他:第二種住宅區,1,1,全筆移轉,07730035
RPSOMLLLNHKGFBB77DA,錦村段,62.00,都市：其他:第二種住宅區,1,1,全筆移轉,01910005
RPRNMLNLNHKGFEB08DA,新城段,53.13,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01370000
RPQOMLTKNHKGFCB38DA,上石碑段,3.72,都市：其他:第二種住宅區,10000,85,持分移轉,08240000
RPQNMLLLNHKGFFB87DA,梧棲段,56.00,都市：其他:第四種住宅區,1,1,全筆移轉,00950005
RPXOMLMLNHKGFFB78DA,興仁段,5.31,都市：其他:第四種住宅區,1,1,全筆移轉,06170000
RPRNMLNLNHKGFFB18DA,朝天段,390.61,都市：其他:農業區,100000,44772,持分移轉,07820000
RPQNMLLLNHKGFFB87DA,梧棲段,20.00,都市：其他:第四種住宅區,1,1,全筆移轉,00950041
RPPNMLKLNHKGFHB87DA,興龍段,9.94,非都市：山坡地保育區 ; 非都市編定：農牧用地,2551500,994,持分移轉,05830000
RPSNMLNLNHKGFFB28DA,三田段,203.50,都市：其他:農業區,4,1,持分移轉,18200001
RPSNMLNLNHKGFFB28DA,三田段,189.50,都市：其他:農業區,4,1,持分移轉,18210000
RPSNMLNLNHKGFFB28DA,三田段,82.50,都市：其他:農業區,4,1,持分移轉,18210001
RPPNMLQLNHKGFFB38EA,忠孝段,77.76,都市：其他:第四種住宅區,800,87,持分移轉,05150000
RPXNMLNKNHKGFIB98DA,健民段,67.86,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,06290000
RPPPMLOKNHKGFFB18DA,新站段,21.04,都市：其他:第四種住宅區,10000,105,持分移轉,00410000
RPRPMLNKNHKGFBB87DA,仁和段,2.33,都市：其他:第一種商業區,10000,33,持分移轉,05270000
RPUNMLKLNHKGFBB77DA,松觀段,88.00,都市：其他:第二種住宅區,1,1,全筆移轉,02690000
RPRPMLNKNHKGFBB87DA,仁和段,2.08,都市：其他:第一種商業區,10000,33,持分移轉,05370000
RPROMLNLNHKGFCB97DA,福安段,19.09,都市：其他:第二種住宅區,100000,1273,持分移轉,07790000
RPRNMLTKNHKGFFB68DA,民族段,310.00,都市：其他:農業區,370,310,持分移轉,01430003
RPOOMLMLNHKGFFB87DA,晉江東段,197.49,都市：其他:保護區,100000,4093,持分移轉,02030000
RPOOMLMLNHKGFFB87DA,晉江東段,128.39,都市：其他:保護區,200000,5322,持分移轉,02030000
RPTNMLOKNHKGFIB68DA,美群段,8.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,10,1,持分移轉,12430000
RPPNMLNLNHKGFBB67EA,陳平段,30.00,都市：其他:第五種住宅區,1,1,全筆移轉,15620027
RPRNMLNLNHKGFKB68DA,遠東段,10.73,都市：其他:第二種住宅區,1000,30,持分移轉,10500000
RPPNMLMLNHKGFFB97EA,明秀段,3.49,都市：其他:第二種住宅區,10,2,持分移轉,14260000
RPPNMLNLNHKGFCB77EA,昌明段,292.86,都市：其他:第一之三種住宅區,1,1,全筆移轉,01450000
RPPNMLQLNHKGFGB48EA,新長庚段,4.64,都市：其他:住宅區,1,1,全筆移轉,08710000
RPQNMLQKNHKGFAB77DA,五權段,3.37,都市：其他:第一種商業區,10000,65,持分移轉,01250000
RPQNMLQKNHKGFAB77DA,五權段,.14,都市：其他:道路用地,10000,65,持分移轉,02920000
RPQNMLQKNHKGFAB77DA,五權段,.34,都市：其他:第二種住宅區,10000,65,持分移轉,02930000
RPTOMLNLNHKGFAB97DA,頂橋子頭段,119.00,都市：其他:第二種住宅區,1,1,全筆移轉,00070021
RPRPMLMLNHKGFAB77DA,麻園頭段,23.34,都市：其他:第二種住宅區,1000,65,持分移轉,01730000
RPRPMLMLNHKGFAB77DA,麻園頭段,3.03,都市：其他:第二種住宅區,1000,65,持分移轉,01730019
RPVNMLQLNHKGFAB38DA,後壠子段,21.42,都市：其他:第二種住宅區,2000,109,持分移轉,01990054
RPVNMLQLNHKGFAB38DA,後壠子段,3.54,都市：其他:第二種住宅區,2000,109,持分移轉,01990061
RPSNMLKLNHKGFCB67DA,廣昌段,3.70,都市：其他:第二種住宅區,14,1,持分移轉,11120001
RPVNMLOKNHKGFBB18DA,文北段,41.89,都市：其他:第二之一種住宅區,100000,1464,持分移轉,01610000
RPTNMLTKNHKGFFB88DA,民族段,30.00,都市：其他:農業區,370,30,持分移轉,01430003
RPUPMLMLNHKGFCB28DA,豐富段,35.59,都市：其他:第一種商業區,10000,88,持分移轉,03420000
RPROMLMLNHKGFFB18DA,市鎮北段,65.18,都市：其他:第四種商業區,3000,75,持分移轉,00100000
RPQNMLOLNHKGFFB18DA,東晉段,.06,都市：其他:第二種住宅區,800,5,持分移轉,06540000
RPQNMLOLNHKGFFB18DA,東晉段,5.29,都市：其他:第二種住宅區,800,5,持分移轉,06980000
RPRNMLQLNHKGFHB68DA,花眉庄段,6.83,都市：其他:農業區,480,8,持分移轉,07640000
RPTNMLQLNHKGFHB88DA,花眉庄段,6.83,都市：其他:農業區,480,8,持分移轉,07640000
RPPNMLRLNHKGFFB38DA,成衣段,6.64,都市：其他:第四種住宅區,2000,56,持分移轉,14640000
RPWNMLOKNHKGFKB56DA,中山段,1125.00,都市：其他:農業區,4,3,持分移轉,00470000
RPPNMLQLNHKGFBB97EA,錦村段,25.93,都市：其他:第二種住宅區,10000,119,持分移轉,03660000
RPXNMLQLNHKGFAB58DA,下橋子頭段,3.23,都市：其他:第三種住宅區。,100000,15,持分移轉,02310001
RPOOMLRLNHKGFAB87DA,大益段,2.33,都市：其他:第二種住宅區,100000,74,持分移轉,08550000
RPOOMLQLNHKGFBB87DA,賴厝廍段,117.00,都市：其他:第二種住宅區,1,1,全筆移轉,01080042
RPOOMLQLNHKGFBB87DA,賴厝廍段,14.00,都市：其他:第二種住宅區,1,1,全筆移轉,01080165
RPPOMLQKNHKGFCB97DA,國安段,4.61,都市：其他:第一之一種住宅區,10000,18,持分移轉,02920002
RPSNMLRJNHKGFCB18DA,民安段,18.18,都市：其他:第一種住宅區,10000,118,持分移轉,06010000
RPQPMLNLNHKGFCB97DA,豐功段,35.48,都市：其他:第一種商業區,100000,831,持分移轉,02750000
RPSNMLTKNHKGFEB68DA,安港段,58.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04540000
RPOPMLKLNHKGFFB77DA,犁份東段,1727.30,都市：其他:保護區,1,1,全筆移轉,07380000
RPOPMLKLNHKGFFB77DA,犁份東段,4534.58,都市：其他:保護區,1,1,全筆移轉,07450000
RPPNMLKLNHKGFIB97DA,南勢西段,84.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,08300000
RPPNMLQLNHKGFFB28DA,保成段,215.19,都市：其他:第二種住宅區,1,1,全筆移轉,14400000
RPPNMLQLNHKGFFB28DA,保成段,13.17,都市：其他:第二種住宅區,1,1,全筆移轉,14410000
RPPNMLKLNHKGFIB97DA,南勢西段,24.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,720,持分移轉,08380000
RPTNMLTKNHKGFGB98DA,新七分段,280.08,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,13300000
RPPQMLQLNHKGFJB98DA,欣欣段,7.00,,1,1,全筆移轉,05640000
RPUNMLTKNHKGFIB66DA,立新段,24.46,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,26,持分移轉,05150000
RPPNMLRLNHKGFKB88DA,追分段,47.20,非都市：特定農業區 ; 非都市編定：水利用地,15,1,持分移轉,02020000
RPPNMLRLNHKGFKB88DA,追分段,16.00,非都市：特定農業區 ; 非都市編定：水利用地,15,1,持分移轉,02040000
RPPNMLRLNHKGFKB88DA,南王田段,41.16,都市：其他:部分道路用地、部分農業區,15,1,持分移轉,08770000
RPPNMLRLNHKGFKB88DA,南王田段,.86,都市：其他:農業區,15,1,持分移轉,08770001
RPRNMLQLNHKGFAB08EA,大慶段,993.41,都市：其他:第一之一種住宅區,1,1,全筆移轉,01980000
RPPNMLRLNHKGFAB97EA,大慶段,211.59,都市：其他:第一之一種住宅區,1,1,全筆移轉,02800000
RPQNMLRLNHKGFCB28EA,西屯段,114.00,都市：其他:第二種住宅區,1,1,全筆移轉,07290000
RPQNMLSLNHKGFEB58EA,安劃段,82.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01010002
RPPNMLSLNHKGFEB48EA,安劃段,82.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01010000
RPPNMLRLNHKGFFB48EA,槺榔段,61.44,都市：其他:文高用地,18,2,持分移轉,10750002
RPPNMLRLNHKGFGB58EA,大南段大南小段,76.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02030256
RPQNMLQLNHKGFFB48EA,西寧段,6.37,都市：其他:第四種住宅區,130536,83139,持分移轉,05100000
RPQNMLQLNHKGFFB48EA,西寧段,50.32,都市：其他:第四種住宅區,130536,83139,持分移轉,05110000
RPPNMLMJNHKGFAB17DA,下橋子頭段,165.10,都市：其他:第二種住宅區,1,1,全筆移轉,05180000
RPTNMLKLNHKGFAB57DA,正義段九小段,21.88,都市：其他:第一種商業區,10000,333,持分移轉,00010003
RPTNMLKLNHKGFAB57DA,正義段九小段,7.26,都市：其他:第二種住宅區,10000,333,持分移轉,00010004
RPPNMLLLNHKGFAB27DA,仁愛段三小段,3.57,都市：其他:第一種商業區,100000,156,持分移轉,00160000
RPPOMLRLNHKGFAB97DA,東勢子段,7.44,都市：其他:第二種住宅區,1758,31,持分移轉,00340142
RPROMLRLNHKGFAB18DA,旱清段,12.37,都市：其他:第二種住宅區,10000,64,持分移轉,02090000
RPSNMLQJNHKGFBB97DA,北屯段,15.55,都市：其他:第二種商業區,100000,850,持分移轉,03500000
RPRPMLQKNHKGFBB18DA,北屯段,25.20,都市：其他:第二種住宅區,11260,252,持分移轉,02660008
RPPNMLLKNHKGFBB27DA,仁美段,16.90,都市：其他:第二種商業區,10000,52,持分移轉,17450000
RPPPMLMKNHKGFBB57DA,文正段,6.46,都市：其他:第二種住宅區,10000,48,持分移轉,00840017
RPPPMLMKNHKGFBB57DA,水源段,.53,都市：其他:第二種住宅區,10000,22,持分移轉,03440001
RPQNMLTKNHKGFBB18DA,邱厝子段,3.00,都市：其他:第二種住宅區,10000,20,持分移轉,00270008
RPVOMLRLNHKGFBB68DA,平田段,27.17,都市：其他:第三種住宅區。,100000,1847,持分移轉,08800005
RPQNMLTKNHKGFBB18DA,賴厝廍段,.11,都市：其他:第二種住宅區,10000,20,持分移轉,04170074
RPPPMLSLNHKGFBB28DA,北屯段,31.00,都市：其他:第二種住宅區,1,1,全筆移轉,02710049
RPPPMLSLNHKGFBB28DA,北屯段,9.00,都市：其他:第二種住宅區,1,1,全筆移轉,02710057
RPPPMLSLNHKGFBB28DA,北屯段,14.00,都市：其他:第二種住宅區,1,1,全筆移轉,02710168
RPWNMLMLNHKGFCB28DA,埔興段,49.67,都市：其他:農業區,169800,10052,持分移轉,14590000
RPXNMLNLNHKGFCB48DA,西屯段,.75,都市：其他:第二種住宅區,4,3,持分移轉,15460016
RPTNMLRJNHKGFDB38DA,豐年段,91.83,都市：其他:乙種工業區,1,1,全筆移轉,07370000
RPRNMLLLNHKGFDB77DA,圳前段,20.42,都市：其他:第一之一種住宅區,1800,40,持分移轉,07230000
RPUNMLRLNHKGFDB68DA,一心段,31.14,都市：其他:第一之一種住宅區,2,1,持分移轉,07520000
