編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
RPPOMLSJNHIFFAB47CA,大益段,25.63,都市：住,10000,378,持分移轉,10810000
RPOQMLSJNHIFFAB57CA,仁愛段五小段,17.90,都市：商,10000,134,持分移轉,00040000
RPQRMLTJNHIFFAB97CA,下橋子頭段,16.44,都市：住,100000,332,持分移轉,02710037
RPUPMLTJNHIFFAB18CA,中華段三小段,1.95,都市：,10000,13,持分移轉,00020021
RPQNMLMKNHIFFAB96CA,頂橋子頭段,19.69,都市：其他:1.住2.道路用地(截角),10000,340,持分移轉,02220004
RPUQMLQKNHIFFAB08CA,麻園頭段,39.00,都市：其他:道路用地,1,1,全筆移轉,01740246
RPOQMLPKNHIFFAB37CA,麻園頭段,12.00,都市：其他:道路用地,1,1,全筆移轉,01590154
RPOQMLPKNHIFFAB37CA,麻園頭段,12.00,都市：其他:道路用地,1,1,全筆移轉,01590157
RPTRMLPKNHIFFAB97CA,下橋子頭段,59.00,都市：商,1,1,全筆移轉,02190062
RPSQMLQKNHIFFAB87CA,麻園頭段,19.90,都市：其他:道路用地,128,3,持分移轉,01320003
RPPQMLPKNHIFFAB47CA,旱溪段,5.00,都市：其他:道路用地,1,1,全筆移轉,02970025
RPTQMLQKNHIFFAB97CA,麻園頭段,4.00,都市：其他:道路用地,12,4,持分移轉,01710079
RPTQMLQKNHIFFAB97CA,麻園頭段,9.00,都市：其他:道路用地,26,9,持分移轉,01710080
RPPQMLQKNHIFFAB57CA,平和段,15.59,都市：其他:道路用地,11400,1445,持分移轉,00430024
RPPQMLQKNHIFFAB57CA,平和段,5.07,都市：其他:道路用地,11400,1445,持分移轉,00430049
RPSNMLRKNHIFFAB67CA,樹子腳段,19.38,都市：住,10000,92,持分移轉,04610000
RPWPMLKLNHIFFAB67CA,城隍段五小段,9.00,都市：其他:道路用地,1,1,全筆移轉,00090016
RPQOMLSKNHIFFAB67CA,半平厝段,29.08,都市：住,10000,903,持分移轉,04480000
RPUNMLLLNHIFFAB37CA,麻園頭段,16.87,都市：住,100000,884,持分移轉,00390000
RPSOMLLJNHIFFBB17CA,文正段,3.53,都市：住,100000,1072,持分移轉,00800014
RPSOMLLJNHIFFBB17CA,文正段,20.80,都市：住,100000,1072,持分移轉,00810000
RPURMLLJNHIFFBB67CA,邱厝子段,163.85,都市：住,100000,7870,持分移轉,00380005
RPTRMLLJNHIFFBB57CA,東山段,3.39,都市：住,100000,164,持分移轉,02210000
RPXOMLMJNHIFFBB77CA,錦村段,7.05,都市：住,10000,55,持分移轉,02130006
RPPPMLMJNHIFFBB07CA,中清段,26.15,都市：住,10000,231,持分移轉,04250000
RPWPMLMJNHIFFBB77CA,北屯段,85.00,都市：住,1,1,全筆移轉,03030041
RPWSMLMJNHIFFBB08CA,錦村段,10.27,都市：住,10000,815,持分移轉,01200000
RPQNMLNJNHIFFBB07CA,陳平段,145.00,都市：住,1,1,全筆移轉,01180023
RPXQMLMJNHIFFBB97CA,長安段,6.28,都市：住,10000,359,持分移轉,00520004
RPXQMLMJNHIFFBB97CA,長安段,16.69,都市：住,10000,359,持分移轉,00540000
RPXQMLMJNHIFFBB97CA,長安段,95.00,都市：住,1,1,全筆移轉,01160000
RPUNMLNJNHIFFBB47CA,平田段,14.38,都市：住,100000,170,持分移轉,01000000
RPUNMLNJNHIFFBB47CA,平田段,2.66,都市：住,100000,170,持分移轉,01000001
RPVNMLNJNHIFFBB57CA,北屯段,75.00,都市：住,1,1,全筆移轉,01630097
RPXNMLNJNHIFFBB77CA,建安段,5.00,都市：住,1,1,全筆移轉,02620001
RPXOMLNJNHIFFBB87CA,景福段,877.50,都市：住,1,1,全筆移轉,00700000
RPQQMLNJNHIFFBB37CA,北屯段,181.00,都市：住,1,1,全筆移轉,03030025
RPQQMLNJNHIFFBB37CA,北屯段,22.00,都市：住,1,1,全筆移轉,03030063
RPRNMLPJNHIFFBB37CA,邱厝子段,14.91,都市：住,10825,107,持分移轉,00990000
RPPNMLPJNHIFFBB17CA,陳平段,5.30,都市：住,40,1,持分移轉,10460000
RPPNMLPJNHIFFBB17CA,陳平段,69.00,都市：住,1,1,全筆移轉,10770000
RPSNMLTKNHIFFAB87CA,後?子段,5.00,都市：住,1,1,全筆移轉,01890021
RPSNMLTKNHIFFAB87CA,後?子段,123.00,都市：住,1,1,全筆移轉,01890087
RPSNMLTKNHIFFAB87CA,後?子段,126.00,都市：住,1,1,全筆移轉,01890088
RPSNMLTKNHIFFAB87CA,後?子段,1.00,都市：住,1,1,全筆移轉,01890089
RPRNMLKLNHIFFAB96CA,土庫段,26.34,都市：住,20000,200,持分移轉,00630003
RPQUMLRJNHIFFBB18CA,松昌段,237.00,都市：住,1,1,全筆移轉,02060000
RPOOMLRJNHIFFBB37CA,松昌段,14.32,都市：商,10000,67,持分移轉,06650000
RPOOMLRJNHIFFBB37CA,松昌段,1.46,都市：商,10000,61,持分移轉,06650001
RPTNMLSJNHIFFBB87CA,大豐段,94.15,都市：住,1,1,全筆移轉,06730000
RPXWMLRJNHIFFBB09CA,北屯段,30.76,都市：住,10000,188,持分移轉,05330009
RPROMLSJNHIFFBB77CA,北屯段,8.12,都市：住,10000,16,持分移轉,00260000
RPTOMLSJNHIFFBB97CA,陳平段,12.85,都市：住,10000,65,持分移轉,18840000
RPTOMLSJNHIFFBB97CA,仁德段,.69,都市：住,10000,65,持分移轉,07500000
RPPQMLSJNHIFFBB77CA,東正段,5.48,都市：商,10000,11,持分移轉,01040000
RPSPMLSJNHIFFBB97CA,大觀段,74.60,都市：住,1,1,全筆移轉,04620010
RPWSMLSJNHIFFBB68CA,平田段,17.56,都市：住,10000,43,持分移轉,04440000
RPSSMLSJNHIFFBB28CA,東正段,16.41,都市：住,10000,81,持分移轉,01220000
RPVQMLSJNHIFFBB38CA,大學段,152.10,都市：住,10000,252,持分移轉,02990000
RPVQMLSJNHIFFBB38CA,大學段,261.54,都市：住,1,1,全筆移轉,03070000
RPUNMLTJNHIFFBB08CA,錦村段,18.97,都市：住,10000,261,持分移轉,02130071
RPVNMLLLNHIFFAB47CA,大益段,19.31,都市：住,10000,167,持分移轉,09600000
RPPOMLTJNHIFFBB67CA,乾溝子段,17.23,都市：住,10000,98,持分移轉,01700049
RPPOMLTJNHIFFBB67CA,乾溝子段,.49,都市：住,10000,98,持分移轉,01730011
RPOUMLTJNHIFFBB18CA,錦村段,25.75,都市：住,10000,81,持分移轉,02210000
RPOUMLTJNHIFFBB18CA,錦村段,1.64,都市：住,10000,81,持分移轉,02210011
RPRPMLKKNHIFFBB17CA,賴厝?段,3.25,都市：商,100000,228,持分移轉,00310003
RPRPMLKKNHIFFBB17CA,邱厝子段,2.61,都市：商,100000,228,持分移轉,00310062
RPPPMLLKNHIFFBB07CA,東義段,18.13,都市：住,300,10,持分移轉,03380000
RPWNMLMKNHIFFBB67CA,大湖段,108.05,都市：其他:道路用地，公共設施保留地,1,1,全筆移轉,08770001
RPOOMLOKNHIFFBB17CA,松茂段,28.74,都市：住,10000,89,持分移轉,05180000
RPUNMLPJNHIFFBB67CA,陳平段,22.31,都市：,100000,730,持分移轉,02160000
RPPOMLMLNHIFFAB07CA,後?子段,10.79,都市：住,10000,234,持分移轉,01310053
RPQSMLPKNHIFFBB87CA,賴厝?段,2.67,都市：住,10000,14,持分移轉,04380000
RPQPMLLLNHIFFAB17CA,麻園頭段,16.20,都市：住,10000,76,持分移轉,01880000
RPUSMLPKNHIFFBB28CA,東新段,4.17,都市：住,50000,103,持分移轉,01530000
RPVSMLPKNHIFFBB38CA,松觀段,8.86,都市：住,10000,270,持分移轉,10370000
RPVSMLPKNHIFFBB38CA,松觀段,6.62,都市：商,10000,270,持分移轉,10380000
RPVSMLPKNHIFFBB38CA,松觀段,4.75,都市：商,10000,270,持分移轉,10570000
RPQPMLNKNHIFFBB37CA,東正段,11.95,都市：商,10000,24,持分移轉,01040000
RPVRMLQKNHIFFBB38CA,北屯段,.30,都市：住,10000,20,持分移轉,01590213
RPVRMLQKNHIFFBB38CA,北屯段,.60,都市：住,10000,20,持分移轉,01590258
RPVRMLQKNHIFFBB38CA,北屯段,18.97,都市：住,10000,166,持分移轉,01590278
RPVRMLQKNHIFFBB38CA,北屯段,74.00,都市：住,1,1,全筆移轉,01590289
RPVRMLQKNHIFFBB38CA,北屯段,.70,都市：住,10000,18,持分移轉,01620000
RPXRMLQKNHIFFBB58CA,東義段,8.84,都市：住,100000,263,持分移轉,02140000
RPURMLRKNHIFFBB38CA,長安段,771.00,都市：住,1,1,全筆移轉,03200000
RPURMLRKNHIFFBB38CA,長安段,7.00,都市：其他:道路用地,1,1,全筆移轉,03210000
RPURMLRKNHIFFBB38CA,長安段,259.00,都市：住,1,1,全筆移轉,03240000
RPXSMLRKNHIFFBB78CA,松竹段,17.85,都市：住,10000,85,持分移轉,12290000
RPQNMLPKNHIFFBB37CA,平田段,16.21,都市：住,10000,50,持分移轉,04690000
RPQQMLRLNHIFFAB87CA,樹子腳段,4.91,都市：住,300000,445,持分移轉,00390000
RPOOMLLLNHIFFBB96CA,賴厝?段,72.00,都市：住,1,1,全筆移轉,01350132
RPROMLTJNHIFFBB87CA,乾溝子段,10.37,都市：住,10000,59,持分移轉,01700049
RPROMLTJNHIFFBB87CA,乾溝子段,.30,都市：住,10000,59,持分移轉,01730011
RPSRMLNLNHIFFBB87CA,東峰段,8.24,都市：商,10000,82,持分移轉,00030000
RPWNMLPKNHIFFBB97CA,同榮段,28.00,都市：其他:道路用地,1,1,全筆移轉,06490000
RPWNMLPKNHIFFBB97CA,同榮段,112.00,都市：住,1,1,全筆移轉,06490002
RPWNMLPKNHIFFBB97CA,同榮段,13.00,都市：其他:道路用地,1,1,全筆移轉,06490003
RPRRMLLLNHIFFBB57CA,東山段,22.52,都市：住,100000,1930,持分移轉,00610000
RPPOMLPKNHIFFBB37CA,同榮段,29.00,都市：其他:道路用地,1,1,全筆移轉,06490007
RPPOMLPKNHIFFBB37CA,同榮段,111.00,都市：住,1,1,全筆移轉,06490009
RPPOMLPKNHIFFBB37CA,同榮段,13.00,都市：其他:道路用地,1,1,全筆移轉,06490011
RPRRMLKLNHIFFBB47CA,賴厝?段,20.95,都市：住,10000,135,持分移轉,00840006
RPQOMLPKNHIFFBB47CA,同榮段,29.00,都市：其他:道路用地,1,1,全筆移轉,06490006
RPQOMLPKNHIFFBB47CA,同榮段,112.00,都市：住,1,1,全筆移轉,06490008
RPQOMLPKNHIFFBB47CA,同榮段,13.00,都市：其他:道路用地,1,1,全筆移轉,06490010
RPQPMLSLNHIFFAB87CA,旱清段,5.33,都市：住,10000,53,持分移轉,02030000
RPXNMLSKNHIFFBB38CA,松茂段,58.00,都市：住,1,1,全筆移轉,00530026
RPXNMLSKNHIFFBB38CA,松茂段,8.30,都市：住,100000,2377,持分移轉,00530021
RPWNMLSKNHIFFBB28CA,松昌段,13.62,都市：住,10000,64,持分移轉,06020000
RPUTMLQKNHIFFBB48CA,松茂段,11.35,都市：住,100000,185,持分移轉,05390000
RPQSMLLJNHIFFCB47CA,民安段,15.61,都市：其他:道路用地,160,13,持分移轉,14790000
RPQSMLLJNHIFFCB47CA,民安段,3.31,都市：其他:道路用地,160,13,持分移轉,14800000
RPQSMLLJNHIFFCB47CA,民安段,54.99,都市：其他:道路用地,160,23,持分移轉,14820000
RPOTMLLJNHIFFCB37CA,西屯段,21.26,都市：住,10000,122,持分移轉,15200002
RPOTMLLJNHIFFCB37CA,西屯段,.77,都市：其他:道路用地,10000,122,持分移轉,15210002
RPPRMLMJNHIFFCB37CA,豐樂段,3.70,都市：其他:道路用地,290,37,持分移轉,03150000
RPPRMLMJNHIFFCB37CA,豐樂段,19.00,都市：其他:道路用地,1,1,全筆移轉,03190000
RPWNMLMJNHIFFCB67CA,民安段,23.91,都市：其他:道路用地,16,1,持分移轉,14820000
RPRRMLMJNHIFFCB57CA,惠民段,11.12,都市：其他:第六種新市政專用區,100000,380,持分移轉,01090000
RPPNMLOJNHIFFCB17CA,國安段,12.40,都市：住,10000,31,持分移轉,00940000
RPPNMLOJNHIFFCB17CA,國安段,5.96,都市：住,10000,31,持分移轉,00940001
RPVPMLNJNHIFFCB87CA,永春段,219.50,都市：住,1,1,全筆移轉,01590000
RPRNMLOJNHIFFCB37CA,大墩段,8.55,都市：住,10000,156,持分移轉,04310000
RPRPMLOJNHIFFCB57CA,三塊厝段,2.06,都市：住,100000,4480,持分移轉,12170043
RPRPMLOJNHIFFCB57CA,三塊厝段,22.89,都市：住,100000,4480,持分移轉,12170044
RPRPMLOJNHIFFCB57CA,三塊厝段,63.00,都市：住,1,1,全筆移轉,12170054
RPTPMLOJNHIFFCB77CA,大墩段,11.86,都市：住,10000,64,持分移轉,04700000
RPORMLOJNHIFFCB47CA,國安段,13.22,都市：住,10000,25,持分移轉,05930489
RPSRMLMJNHIFFCB67CA,西屯段,6.00,都市：其他:道路用地,210,28,持分移轉,08340001
RPTVMLRJNHIFFCB68CA,下石碑段,28.96,都市：住,10000,336,持分移轉,09520000
RPWWMLRJNHIFFCB09CA,三塊厝段,26.51,都市：住,10000,101,持分移轉,05590000
RPUNMLRLNHIFFBB08CA,建功段,26.31,都市：住,100000,377,持分移轉,08490000
RPTOMLQJNHIFFCB87CA,田心段,9.61,都市：住,10000,56,持分移轉,05370000
RPROMLSJNHIFFCB87CA,上石碑段,30.50,都市：住,10000,82,持分移轉,17890000
RPOQMLSJNHIFFCB77CA,台安段,1270.74,都市：其他:公設保留地,10,1,持分移轉,01510001
RPPOMLSJNHIFFCB67CA,上石碑段,14.96,都市：住,10000,43,持分移轉,07680000
RPORMLSJNHIFFCB87CA,中和段,16.15,都市：住,10000,97,持分移轉,03500000
RPXPMLOLNHIFFBB28CA,松觀段,50.00,都市：住,1,1,全筆移轉,09600039
RPXPMLOLNHIFFBB28CA,松觀段,19.00,都市：住,1,1,全筆移轉,09610016
RPWPMLOLNHIFFBB18CA,東峰段,5.83,都市：商,10000,58,持分移轉,00030000
RPRQMLOLNHIFFBB77CA,陳平段,3.61,都市：住,10000,33,持分移轉,20090000
RPRQMLOLNHIFFBB77CA,陳平段,.39,都市：住,5043,8,持分移轉,20100000
RPRQMLOLNHIFFBB77CA,仁德段,5.78,都市：住,10000,33,持分移轉,10340000
RPOQMLTJNHIFFCB87CA,田心段,41.70,都市：住,1000,58,持分移轉,03820000
RPTRMLSJNHIFFCB38CA,寶山段,8.53,都市：住,100000,538,持分移轉,03640000
RPQRMLOLNHIFFBB77CA,東信段,15.40,都市：住,10000,150,持分移轉,00820000
RPOQMLKKNHIFFCB07CA,中正段,25.20,都市：住,10000,698,持分移轉,01110000
RPPNMLTJNHIFFCB67CA,福星段,34.04,都市：住,100000,2003,持分移轉,00810000
RPTPMLTJNHIFFCB28CA,福德段,37.11,都市：住,100000,1601,持分移轉,00260000
RPSNMLMKNHIFFCB37CA,信安段,78.03,都市：其他:道路用地，公共設施保留地,1,1,全筆移轉,01630015
RPSNMLMKNHIFFCB37CA,信安段,51.32,都市：其他:道路用地，公共設施保留地,266088,61990,持分移轉,01640001
RPSNMLMKNHIFFCB37CA,民安段,.42,都市：其他:道路用地，公共設施保留地,33261,4858,持分移轉,02310002
RPTQMLKKNHIFFCB57CA,大明段,127.00,都市：住,1,1,全筆移轉,03270000
RPTQMLKKNHIFFCB57CA,大明段,123.00,都市：住,1,1,全筆移轉,03270001
RPQOMLKKNHIFFCB07CA,豐功段,15.75,都市：住,100000,872,持分移轉,01280000
RPWQMLNKNHIFFCB18CA,田心段,2.16,都市：其他:,100,24,持分移轉,08240002
RPWQMLNKNHIFFCB18CA,民安段,2.20,都市：其他:,144,16,持分移轉,14700001
RPWPMLTLNHIFFBB68CA,松茂段,16.42,都市：住,10000,59,持分移轉,05370000
RPPRMLPKNHIFFCB77CA,上石碑段,16.82,都市：商,10000,144,持分移轉,21220004
RPPRMLPKNHIFFCB77CA,上石碑段,.06,都市：商,10000,144,持分移轉,26810002
RPQNMLPKNHIFFCB47CA,保安段,9.99,都市：住,10000,31,持分移轉,04580000
RPUNMLNKNHIFFCB67CA,黎明段,.90,都市：住,100000,17,持分移轉,01030000
RPQNMLQKNHIFFCB57CA,大進段,17.22,都市：住,10000,505,持分移轉,01250000
RPROMLLKNHIFFCB27CA,惠來厝段,11.15,都市：住,100000,1175,持分移轉,12510005
RPUSMLNKNHIFFCB18CA,西屯段,90.00,都市：住,1,1,全筆移轉,18840002
RPROMLQKNHIFFCB77CA,上石碑段,18.73,都市：商,100000,534,持分移轉,27700000
RPVRMLKLNHIFFCB97CA,大進段,13.10,都市：住,100000,1100,持分移轉,04960000
RPPNMLQJNHIFFCB37CA,大墩段,28.00,都市：住,1886,28,持分移轉,02980000
RPOOMLLLNHIFFCB07CA,福星段,27.63,都市：住,100000,916,持分移轉,04590000
RPOOMLLLNHIFFCB07CA,福星段,3.51,都市：住,100000,916,持分移轉,04640000
RPOOMLLLNHIFFCB07CA,福星段,1.90,都市：住,100000,916,持分移轉,04710000
RPPQMLLLNHIFFCB37CA,福安段,25.75,都市：住,10000,62,持分移轉,07890000
RPXQMLNLNHIFFCB38CA,寶山段,13.63,都市：住,100000,227,持分移轉,06470000
RPSQMLLLNHIFFCB67CA,黎明段,8.94,都市：住,100000,161,持分移轉,03510000
RPROMLOLNHIFFCB67CA,大新段,10.90,都市：住,10000,69,持分移轉,08440000
RPTNMLTLNHIFFBB18CA,松觀段,9.97,都市：住,10000,146,持分移轉,01410000
RPVPMLOLNHIFFCB18CA,西屯段,44.00,都市：住,1,1,全筆移轉,20330007
RPVPMLOLNHIFFCB18CA,西屯段,7.00,都市：住,1,1,全筆移轉,20330013
RPVPMLOLNHIFFCB18CA,西屯段,3.00,都市：住,1,1,全筆移轉,20340004
RPVPMLOLNHIFFCB18CA,西屯段,7.00,都市：住,1,1,全筆移轉,20360000
RPVPMLOLNHIFFCB18CA,西屯段,232.00,都市：住,1,1,全筆移轉,20370000
RPSNMLMJNHIFFAL08CA,民富段,54.09,都市：住,1,1,全筆移轉,06060000
RPSNMLMJNHIFFAL08CA,民富段,54.06,都市：住,1,1,全筆移轉,06070000
RPPTMLQKNHIFFCB08CA,豐功段,23.84,都市：商,100000,1181,持分移轉,01580000
RPOTMLQKNHIFFCB97CA,豐功段,25.72,都市：商,100000,1274,持分移轉,01580000
RPXNMLMJNHIFFAL58CA,豐東段,87.82,都市：住,1,1,全筆移轉,03520000
RPRNMLQJNHIFFAL38CA,月眉段,2936.00,都市：,1,1,全筆移轉,00410001
RPXNMLQJNHIFFAL98CA,中社段,95.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,03090007
RPXNMLQJNHIFFAL98CA,中社段,1807.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,03090008
RPXNMLQJNHIFFAL98CA,中社段,3450.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,03090040
RPXNMLQJNHIFFAL98CA,里城段,1041.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,05030001
RPQNMLSJNHIFFAL48CA,豐原段,34.61,都市：商,37100,3461,持分移轉,07340055
RPPNMLTJNHIFFAL48CA,中和段,97.00,都市：住,1,1,全筆移轉,00860005
RPRNMLKKNHIFFAL87CA,四塊厝段,1702.00,都市：農,2,1,持分移轉,04890014
RPRNMLKKNHIFFAL87CA,四塊厝段,851.00,都市：農,4,1,持分移轉,04890014
RPRNMLKKNHIFFAL87CA,四塊厝段,851.00,都市：農,4,1,持分移轉,04890014
RPROMLKKNHIFFAL97CA,豐原段,3.53,都市：商,100000,1070,持分移轉,00660001
RPSOMLLKNHIFFCB37CA,大墩段,16.99,都市：住,10000,214,持分移轉,00250000
RPTOMLLKNHIFFCB47CA,大墩段,11.86,都市：住,10000,50,持分移轉,04110000
RPQPMLNKNHIFFAL28CA,后里段,1198.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910075
RPQPMLNKNHIFFAL28CA,后里段,72.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01910094
RPQPMLNKNHIFFAL28CA,后里段,72.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01910095
RPQPMLNKNHIFFAL28CA,后里段,1198.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910074
RPPQMLRLNHIFFAL78CA,大洲段,23.23,都市：住,10000,45,持分移轉,03840000
RPOSMLNLNHIFFCB67CA,西屯段,26.32,都市：住,1000,94,持分移轉,18940000
RPSNMLQJNHIFFBL58CA,幸福段,100.56,都市：住,1,1,全筆移轉,05140007
RPQNMLMJNHIFFBL97CA,安行段,2685.00,都市：,1,1,全筆移轉,05230000
RPQNMLMJNHIFFCL08CA,鹿寮段,174.00,都市：住,1,1,全筆移轉,03940000
RPWNMLTJNHIFFBL66CA,致用段,74.49,都市：住,1,1,全筆移轉,01740000
RPWNMLTJNHIFFBL66CA,致用段,48.90,都市：住,1,1,全筆移轉,01750000
RPROMLMJNHIFFCL28CA,福麗段,1130.00,都市：工,1,1,全筆移轉,01640000
RPVOMLMJNHIFFCL68CA,東海段,74.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03120000
RPVOMLMJNHIFFCL68CA,東海段,14.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,18,1,持分移轉,03200000
RPSRMLNJNHIFFCL78CA,高南段,1382.54,都市：農,1,1,全筆移轉,13430000
RPSRMLNJNHIFFCL78CA,高南段,441.01,都市：其他:綠地,1,1,全筆移轉,13470000
RPSRMLNJNHIFFCL78CA,高南段,179.20,都市：其他:鐵路用地,1,1,全筆移轉,13480000
RPOPMLQJNHIFFCL48CA,南勢坑段南勢坑小段,128.00,都市：住,1,1,全筆移轉,01020040
RPPNMLRJNHIFFCL48CA,銀聯段,120.00,都市：住,1,1,全筆移轉,20200012
RPXNMLTJNHIFFCL86CA,南勢坑段南勢坑小段,31.26,都市：住,10000,208,持分移轉,02390000
RPXNMLTJNHIFFCL86CA,南勢坑段南勢坑小段,66.00,都市：住,1,1,全筆移轉,02390033
RPWOMLQKNHIFFCL66CA,北勢坑段北勢坑小段,829.00,都市：住,1,1,全筆移轉,03640001
RPUOMLRKNHIFFCL56CA,龍井段竹坑小段,9.37,都市：住,10000,47,持分移轉,05210000
RPUOMLRKNHIFFCL56CA,龍井段竹坑小段,3.83,都市：住,10000,47,持分移轉,05210001
RPPOMLRKNHIFFCL68CA,萬陵段,221.15,都市：農,1,1,全筆移轉,04900000
RPPOMLRKNHIFFCL68CA,大肚段,94.00,都市：農,1,1,全筆移轉,00355238
RPPNMLKLNHIFFCL97CA,忠和段,684.50,都市：農,2,1,持分移轉,14640002
RPPNMLKLNHIFFCL97CA,忠和段,684.50,都市：農,2,1,持分移轉,14640002
RPPNMLKLNHIFFCL97CA,忠和段,684.50,都市：農,2,1,持分移轉,14640003
RPPNMLKLNHIFFCL97CA,忠和段,684.50,都市：農,2,1,持分移轉,14640003
RPRNMLMJNHIFFFL48CA,甘潭段,9.96,都市：住,100000,805,持分移轉,04120000
RPOPMLNLNHIFFCB37CA,民安段,9.45,都市：其他:,1,1,全筆移轉,10910004
RPRNMLNJNHIFFFL58CA,頭家段,75.65,都市：住,1,1,全筆移轉,06100000
RPPOMLMJNHIFFFL38CA,上楓段,1170.00,都市：農,1,1,全筆移轉,07940000
RPPOMLMJNHIFFFL38CA,上楓段,1173.00,都市：農,1,1,全筆移轉,07940001
RPPOMLMJNHIFFFL38CA,上楓段,1185.00,都市：農,1,1,全筆移轉,07940003
RPPNMLQJNHIFFFL68CA,三和段,1554.00,都市：農,1,1,全筆移轉,02220000
RPQNMLOJNHIFFFL58CA,家興段,2.45,都市：住,10000,7,持分移轉,05640000
RPPNMLSJNHIFFFL88CA,家興段,7.65,都市：住,100000,462,持分移轉,01410000
RPWNMLSJNHIFFFL96CA,家興段,8.83,都市：住,100000,228,持分移轉,05620000
RPUQMLMLNHIFFCL98CA,山腳段,17.32,都市：住,100000,444,持分移轉,02860000
RPVNMLTJNHIFFFL96CA,興華段,4.86,都市：住,244,5,持分移轉,00850000
RPSNMLLKNHIFFFL58CA,自強段,57.00,都市：住,1,1,全筆移轉,08630011
RPSNMLLKNHIFFFL58CA,自強段,18.19,都市：住,16,1,持分移轉,08630015
RPUNMLOKNHIFFFL09CA,民生段,70.77,都市：其他:公共設施保留地,1,1,全筆移轉,05780000
RPRNMLLLNHIFFFL58CA,潭興段,3.98,都市：其他:,1,1,全筆移轉,02610000
RPRNMLLLNHIFFFL58CA,潭興段,111.49,都市：住,1,1,全筆移轉,02620000
RPQOMLLLNHIFFFL58CA,自強段,5.98,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,712,持分移轉,17060006
RPQOMLLLNHIFFFL58CA,自強段,3.17,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,364,持分移轉,17060007
RPQOMLLLNHIFFFL58CA,自強段,51.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,17060011
