編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLMJJIHFFBB86CA,18,72.35,住家用,鋼筋混凝土造,83年4月26日,九層,三層 陽台
RPRPMLMJJIHFFBB86CA,18,22.01,共有部份,鋼筋混凝土造,83年4月26日,九層,
RPRPMLMJJIHFFBB86CA,18,6.97,共有部份,鋼筋混凝土造,83年4月26日,九層,
RPTOMLPJJIHFFBB27CA,19,89.89,住商用,鋼筋混凝土造,82年5月11日,八層,一層 二層 陽台 平台 騎樓 花台
RPTOMLPJJIHFFBB27CA,19,30.79,共有部份,鋼筋混凝土造,82年5月11日,八層,
RPRNMLQJJIHFFBB07CA,18,28.75,商業用,鋼筋混凝土造,83年12月22日,十七層,十三層 陽台
RPVNMLQJJIHFFBB47CA,17,108.19,住商用,鋼筋混凝土造,84年12月29日,十一層,一層 二層 陽台 平台 騎樓
RPSOMLNJJIHFFBB96CA,14,93.81,住家用,鋼筋混凝土造,87年11月6日,十四層,三層 陽台
RPSOMLNJJIHFFBB96CA,14,32.62,共有部份,鋼筋混凝土造,87年11月6日,十四層,
RPRRMLPJJIHFFBB37CA,18,92.62,住商用,鋼筋混凝土造,83年5月20日,十三層,一層 二層 陽台 平台 花台
RPRRMLPJJIHFFBB37CA,18,6.02,共有部份,鋼筋混凝土造,83年5月20日,十三層,
RPUOMLQJJIHFFBB47CA,5,49.60,住家用,鋼筋混凝土造,96年12月31日,十四層,十二層 陽台
RPUOMLQJJIHFFBB47CA,5,23.29,共有部份,鋼筋混凝土造,96年12月31日,十四層,
RPWNMLQJJIHFFBB57CA,22,23.14,停車空間，避難室,鋼筋混凝土造,79年12月28日,八層,
RPWNMLQJJIHFFBB57CA,22,138.99,住家用,鋼筋混凝土造,79年12月28日,八層,四層 陽台 花台
RPRRMLRJJIHFFBB57CA,27,85.16,住家用,鋼筋混凝土造,74年4月17日,五層,五層 陽台 花台
RPRRMLRJJIHFFBB57CA,27,5.35,共有部份,鋼筋混凝土造,74年4月17日,五層,
RPQQMLTJJIHFFBB57CA,14,28.36,共有部份,鋼筋混凝土造,87年11月6日,十四層,
RPSNMLSJJIHFFBB37CA,32,106.44,住家用,鋼筋混凝土造,70年1月22日,五層,三層
RPRQMLTJJIHFFBB67CA,,86.41,住家用,鋼筋混凝土造,101年7月25日,十五層,十一層 陽台 雨遮
RPRQMLTJJIHFFBB67CA,,18.21,本共有部份係依使用執照之建築概要表記載項目有，停車空間，梯間，昇降機間，消防機房、污水機房，水箱，機車停車空間，防空避難室兼停車空間，台電配電室，緊急發電機室，機械室，電信室，電錶箱室，社區大廳，垃圾集中處，門廳，門廊，梯廳，社區交誼廳，社區閱讀室，休閒區，車道，排煙室，沿街步道式開放空間（頂蓋型）：等２４項。,鋼筋混凝土造,101年7月25日,十五層,
RPRQMLTJJIHFFBB67CA,,22.65,本共有部份係依使用執照之建築概要表記載項目有，梯間，昇降機間，排煙室，梯廳，水箱，水錶箱室，機械室等７項。,鋼筋混凝土造,101年7月25日,十五層,
RPVPMLRJJIHFFBB77CA,19,100.55,住家用,鋼筋混凝土造,83年2月17日,六層,三層 陽台
RPSNMLMKJIHFFBB86CA,21,30.52,住家用,鋼筋混凝土造,80年12月28日,十二層,七層
RPSNMLMKJIHFFBB86CA,21,14.77,共有部份,鋼筋混凝土造,80年12月28日,十二層,
RPSNMLMKJIHFFBB86CA,21,5.77,共有部份,鋼筋混凝土造,80年12月28日,十二層,
RPUNMLMKJIHFFBB07CA,20,221.26,住家用,鋼筋混凝土造,81年6月24日,四層,一層 二層 三層 四層 陽台
RPPUMLTJJIHFFBB87CA,19,125.11,住家用,鋼筋混凝土造,82年12月8日,五層,四層 陽台
RPPUMLTJJIHFFBB87CA,19,15.19,共有部份,鋼筋混凝土造,82年12月8日,五層,
RPTQMLMKJIHFFBB27CA,18,121.16,住商用,鋼筋混凝土造,83年6月23日,十四層,一層 二層 陽台 平台 騎樓
RPUPMLOKJIHFFBB47CA,29,99.54,住家用,鋼筋混凝土造,73年1月20日,二層,一層 二層 陽台 平台 夾層
RPTOMLPKJIHFFBB37CA,19,136.87,住家用,鋼筋混凝土造,82年12月14日,十層,八層 陽台
RPROMLMJJIHFFCB86CA,32,107.23,店房、住房、人行道、避難室,鋼筋混凝土加強磚造,69年7月29日,二層,一層 二層 騎樓 地下層
RPUOMLMJJIHFFCB17CA,18,38.73,住家用,鋼筋混凝土造,84年2月20日,十三層,四層 陽台
RPUOMLMJJIHFFCB17CA,18,9.14,共有部份,鋼筋混凝土造,84年2月20日,十三層,
RPUOMLMJJIHFFCB17CA,18,9.20,共同使用,鋼筋混凝土造,84年2月20日,十三層,
RPRQMLMJJIHFFCB07CA,11,53.50,住家用,鋼筋混凝土造,91年2月1日,十四層,十一層 陽台
RPRQMLMJJIHFFCB07CA,11,28.04,共有部份,鋼筋混凝土造,91年2月1日,十四層,
RPTQMLMJJIHFFCB27CA,18,23.25,共有部份,鋼筋混凝土造,84年1月26日,九層,
RPTQMLMJJIHFFCB27CA,18,278.45,住商用,鋼筋混凝土造,84年1月26日,九層,一層 二層 三層 四層 平台 騎樓 露台 雨遮 地下層
RPWQMLMJJIHFFCB57CA,3,46.21,住家用,鋼筋混凝土造,99年2月1日,十二層,十一層 陽台
RPWQMLMJJIHFFCB57CA,3,17.01,本共有部份之項目有：人行道、門廳（Ａ）、外廊（Ａ）、外廊（Ｂ）、公共服務空間、電梯梯間Ａ、緊急昇降機、行動不便者昇降機、Ａ１梯、Ａ２梯、Ａ３梯、車道Ａ、陽台、門廊Ｂ、管理室（管委會使用空間）、廣場式頂蓋型開放空間、沿街步道式頂蓋型開放空間、垃圾處理場、梯廳Ｂ１、開放空間景觀水池、Ｂ１梯、Ｂ２梯、Ｂ３梯、車道Ｂ、緩衝空間、廊道Ａ、排煙室Ａ１電梯梯間、管道室、緊急昇降機、梯廳Ｂ、梯廳兼排煙室、排煙室Ｂ１、廊道Ｂ、電梯梯間排煙室Ａ１、梯間、Ａ１梯、Ａ２梯、Ｂ１梯、Ｂ２梯、機械室、水箱Ａ１、水箱Ａ２、水箱Ｂ１、水箱Ｂ２等四十四項。,鋼筋混凝土造,99年2月1日,十二層,
RPWQMLMJJIHFFCB57CA,3,38.80,本共有部份之項目有：電表室、台電配電室Ａ、防空避難室兼停車空間、發電機室、過濾機房、行動不便者昇降機、Ａ３梯、台電配電室Ｂ、Ｂ３梯、Ｂ４梯、停車空間、電信室、儲藏室、汙水機房、水箱Ａ、機械室、水箱Ｂ、消防機房等十八項。,鋼筋混凝土造,99年2月1日,十二層,
RPWPMLNJJIHFFCB57CA,24,45.06,住家用,鋼筋混凝土造,78年1月4日,五層,五層 陽台 花台
RPWPMLNJJIHFFCB57CA,24,13.15,共有部份,鋼筋混凝土造,78年1月4日,五層,
RPUVMLPJJIHFFCB18CA,,86.60,住家用,鋼筋混凝土造,101年7月10日,十二層,八層 陽台 雨遮
RPUVMLPJJIHFFCB18CA,,68.71,本共有部分之項目有停車空間、水箱、消防污水機房、車道、梯間、發電機室、電信機房、防空避難室兼停車空間、台電配電室、水池及噴灌機房、機車停車區、管理委員會空間、門廳、公共服務空間（交誼廳）、公共服務空間（文康室）、資源回收室、梯廳、樓梯間、機械室等十九項,鋼筋混凝土造,101年7月10日,十二層,
RPVNMLRJJIHFFCB67CA,24,107.69,住家用,鋼筋混凝土造,77年8月12日,七層,六層 陽台
RPVNMLRJJIHFFCB67CA,24,15.88,共有部份,鋼筋混凝土造,77年8月12日,七層,
RPQOMLRJJIHFFCB27CA,14,108.60,住家用,鋼筋混凝土造,87年11月30日,九層,四層 陽台
RPQOMLRJJIHFFCB27CA,14,55.45,共有部份,鋼筋混凝土造,87年11月30日,九層,
RPQOMLRJJIHFFCB27CA,14,9.73,共有部份,鋼筋混凝土造,87年11月30日,九層,
RPWOMLRJJIHFFCB87CA,19,76.36,住家用,鋼筋混凝土造,83年1月27日,十二層,三層 陽台
RPWOMLRJJIHFFCB87CA,19,28.91,共有部份,鋼筋混凝土造,83年1月27日,十二層,
RPTNMLNKJIHFFCB17CA,6,79.16,住家用,鋼筋混凝土造,95年8月16日,二十二層,九層 陽台 雨遮
RPTNMLNKJIHFFCB17CA,6,30.77,共用,鋼筋混凝土造,95年8月16日,二十二層,
RPVOMLNKJIHFFCB47CA,30,101.14,住家用,鋼筋混凝土造,71年7月7日,五層,二層 陽台
RPXPMLOKJIHFFCB87CA,3,73.96,住家用,鋼筋混凝土造,98年8月13日,十八層,七層 陽台 雨遮
RPXPMLOKJIHFFCB87CA,3,25.03,共有,鋼筋混凝土造,98年8月13日,二十六層,
RPXPMLOKJIHFFCB87CA,3,26.07,共有,鋼筋混凝土造,98年8月13日,二十六層,
RPRQMLNLJIHFFBB27CA,22,47.02,共有部份,鋼筋混凝土造,80年2月4日,二十層,
RPRQMLNLJIHFFBB27CA,22,491.21,商業用,鋼筋混凝土造,80年2月4日,二十層,十八層 陽台 花台
RPRQMLNLJIHFFBB27CA,22,221.41,停車空間，避難室,鋼筋混凝土造,80年2月4日,二十層,
RPRQMLNLJIHFFBB27CA,22,575.94,商業用,鋼筋混凝土造,80年2月4日,二十層,十八層 陽台 花台
RPRQMLNLJIHFFBB27CA,22,39.64,共有部份,鋼筋混凝土造,80年2月4日,二十層,
