鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),台中市南區工學五街８號,19.03,住,,,1011015,土地1建物1車位0,一層，二層,十四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0850802,167.89,3,2,2,有,有,5000000,29782,,0.0,0,,RPUOMLMJJIHFFAB96CA,100.94,2.19,46.85,,
南區,車位,台中市南區南和里工學路１４２號等公共設施部份,0.0,,,,1011023,土地0建物0車位1,,,住宅大樓(11層含以上有電梯),,,,10.7,0,0,0,有,有,320000,,坡道機械,10.7,320000,,RPWOMLMJJIHFFAB17CA,0.0,0.0,0.0,,
南區,房地(土地+建物)+車位,台中市南區崇倫里崇倫街５２號７樓之１,16.65,住,,,00001,土地2建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010723,97.85,2,2,1,有,有,3780000,38630,升降機械,0.0,0,,RPXOMLRJJIHFFAB77CA,45.53,6.76,2.64,,
南區,房地(土地+建物),台中市南區崇倫里崇倫街５２號５樓之６,18.69,住,,,00001,土地2建物1車位0,五層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010723,95.03,3,2,1,有,有,3640000,38304,,0.0,0,,RPOPMLRJJIHFFAB96CA,50.67,3.24,7.76,,
南區,房地(土地+建物)+車位,台中市南區崇倫里崇倫街５２號２樓之１,20.25,住,,,1000106,土地2建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1010723,129.35,2,2,1,有,有,5350000,41359,坡道平面,0.0,0,,RPPPMLRJJIHFFAB07CA,60.63,2.47,3.7,,
西區,房地(土地+建物),台中市西區忠誠街６６巷１３號三樓,38.31,住,,,1011023,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680320,96.74,3,2,2,有,無,4060000,41968,,0.0,0,,RPVQMLRJJIHFFAB77CA,96.74,0.0,0.0,,
西區,土地,土庫段22-78地號,118.0,住,,,1010912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,101695,,0.0,0,,RPPQMLQJJIHFFAB07CA,0.0,0.0,0.0,,
東區,土地,旱溪段30-14地號,512.0,其他,,,1011009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,15625,,0.0,0,,RPPNMLRJJIHFFAB86CA,0.0,0.0,0.0,,
南區,房地(土地+建物),台中市南區工學路１４６巷１９號,19.07,其他,,,1011022,土地2建物1車位0,一層，二層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0841130,140.73,0,0,0,無,有,4300000,30554,,0.0,0,,RPQPMLSJJIHFFAB27CA,90.25,9.0,10.36,,
